task_desc,obj_type,verbs,goal_phase,issue_text,learning_text,valid_level,issue_task_id,issue_trial_num,issue_step_range,evidence_task_id,evidence_trial_num,evidence_step_range
look at alarmclock under the desklamp.,desklamp,"turn on, use, look at, examine",TRANSFORM,"Repeated attempts to turn on, use, or examine desklamp 1 had no effect.",Use the 'use [object]' command to successfully turn on the desklamp.,VALID_SAME_TRIAL,look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,1,5-12,look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,1,13-13
look at alarmclock under the desklamp.,"alarmclock, desklamp","look at, take",ACQUIRE,"Directly attempting to 'look at alarmclock under desklamp' failed, even with the lamp on.","First, pick up the alarmclock before attempting to look at it under the desklamp.",VALID_SAME_TRIAL,look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,1,3-16,look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,1,19-19
look at book under the desklamp.,"book, desklamp",put,PLACE,Attempted to place book on the general desk surface instead of the specific target under the desklamp.,Place the book specifically under the desklamp to fulfill the task requirement.,VALID_SAME_TRIAL,look_at_obj_in_light-Book-None-DeskLamp-316,1,3-3,look_at_obj_in_light-Book-None-DeskLamp-316,1,4-4
look at book under the desklamp.,"book, desklamp",put,PLACE,Failed to place book under desklamp because the desklamp was not turned on.,Turn on the desklamp using the 'use' command before attempting to place objects under it for observation.,VALID_SAME_TRIAL,look_at_obj_in_light-Book-None-DeskLamp-316,1,4-4,look_at_obj_in_light-Book-None-DeskLamp-316,1,5-5
examine the book with the desklamp.,"book, desklamp","examine, use",TRANSFORM,"Directly examining book with desklamp failed, as the desklamp was not active.","To examine an object with a desklamp, first activate the desklamp using the 'use' command.",VALID_SAME_TRIAL,look_at_obj_in_light-Book-None-DeskLamp-320/trial_T20190909_152445_177541,1,11-11,look_at_obj_in_light-Book-None-DeskLamp-320/trial_T20190909_152445_177541,1,14-14
examine the cellphone with the desklamp.,"CellPhone, DeskLamp","examine, go to, look_at, take, use",ACQUIRE,The 'examine' action failed repeatedly even with the desklamp on.,"To examine an object, it must first be picked up or held by the agent.",VALID_SAME_TRIAL,look_at_obj_in_light-CellPhone-None-DeskLamp-316,1,2-6,look_at_obj_in_light-CellPhone-None-DeskLamp-316,1,7-7
look at laptop under the desklamp.,drawer,"go to, open",SEARCH,"Failed to navigate to a drawer using `go to` command, resulting in ""Nothing happens.""","If `go to` fails for a container, try interacting directly with it using commands like `open`.",VALID_NEXT_TRIAL,look_at_obj_in_light-Laptop-None-DeskLamp-323,1,20-21,look_at_obj_in_light-Laptop-None-DeskLamp-323,2,28-29
look at laptop under the desklamp.,"laptop, desk, desklamp","place, put, use",PLACE,Unable to place the laptop on or under the desklamp using `place` or `put` commands.,Explicit placement might not be required; ensure the object is in the same location as the light source and activate the light source.,VALID_NEXT_TRIAL,look_at_obj_in_light-Laptop-None-DeskLamp-323,5,12-14,look_at_obj_in_light-Laptop-None-DeskLamp-323,6,32-33
look at laptop under the desklamp.,dresser,open,SEARCH,Attempted to `open` a dresser that is not a container or is already open.,No specific learning was applied to resolve this issue within the provided trials.,CANDIDATE,look_at_obj_in_light-Laptop-None-DeskLamp-323,6,19-19,look_at_obj_in_light-Laptop-None-DeskLamp-323,6,19-19
examine the mug with the desklamp.,"mug, desklamp","look at, examine, use",SEARCH,Attempted to look at a desklamp at a location where it was not present.,Search for the object at a different location when it's not found at the current one.,VALID_SAME_TRIAL,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,4-4,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,5-5
examine the mug with the desklamp.,"mug, desklamp","look at, examine, use",ACQUIRE,Attempted to take an object (desklamp) that was fixed and could not be moved.,"If an object cannot be taken, bring the other required object to its location.",VALID_SAME_TRIAL,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,8-8,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,9-9
examine the mug with the desklamp.,"mug, desklamp","look at, examine, use",TRANSFORM,Attempted to examine an object using a desklamp that was not turned on.,Turn on the desklamp before attempting to use it for examination.,VALID_SAME_TRIAL,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,13-13,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,14-14
examine the newspaper with the desklamp.,desklamp,"take, move",ACQUIRE,Desklamp cannot be taken or moved from its location.,Use the desklamp in its fixed location by turning it on.,VALID_SAME_TRIAL,look_at_obj_in_light-Newspaper-None-DeskLamp-216,1,3-3,look_at_obj_in_light-Newspaper-None-DeskLamp-216,1,6-6
examine the newspaper with the desklamp.,newspaper,take,ACQUIRE,Initial attempt to take the newspaper failed.,The newspaper can be taken from its location to bring it to the desklamp.,VALID_NEXT_TRIAL,look_at_obj_in_light-Newspaper-None-DeskLamp-216,1,4-4,look_at_obj_in_light-Newspaper-None-DeskLamp-216,2,12-12
