task_type,task_id,split,task_desc,already_in_memory
look_at_obj_in_light,look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,train,Examine an alarm clock by the light of a desk lamp.,False
look_at_obj_in_light,look_at_obj_in_light-Book-None-DeskLamp-316/trial_T20190908_101923_519368,train,Carry a book while turning on a lamp,False
look_at_obj_in_light,look_at_obj_in_light-Book-None-DeskLamp-320/trial_T20190909_152445_177541,train,examine a book with the lamp,False
look_at_obj_in_light,look_at_obj_in_light-CellPhone-None-DeskLamp-316/trial_T20190907_075452_465579,train,turn the lamp on on the desk while holding a cellphone,False
look_at_obj_in_light,look_at_obj_in_light-Laptop-None-DeskLamp-323/trial_T20190908_014226_839563,train,Examine a notebook computer by the light of a lamp,False
look_at_obj_in_light,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,train,Inspect a mug with a lamp.,False
look_at_obj_in_light,look_at_obj_in_light-Newspaper-None-DeskLamp-216/trial_T20190908_143004_004127,train,Turn on a lamp while holding a newspaper. ,False
look_at_obj_in_light,look_at_obj_in_light-Newspaper-None-DeskLamp-225/trial_T20190909_085334_452202,train,Examine a newspaper by the light of a small lamp.,False
look_at_obj_in_light,look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115849_734053,train,Examine the pen on the light,False
look_at_obj_in_light,look_at_obj_in_light-Pen-None-DeskLamp-319/trial_T20190908_222409_540184,train,examine a pen by the light of the lamp that is sitting on the dresser,False
look_at_obj_in_light,look_at_obj_in_light-Pencil-None-DeskLamp-306/trial_T20190907_235840_204311,train,Put the pencil on the basket next to desk. ,False
look_at_obj_in_light,look_at_obj_in_light-Pencil-None-DeskLamp-319/trial_T20190908_135102_644449,train,Examine a pencil by the light of a lamp.,False
look_at_obj_in_light,look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,train,examine pencil with a lamp,False
look_at_obj_in_light,look_at_obj_in_light-Pillow-None-DeskLamp-216/trial_T20190907_220638_188496,train,Pick up a pillow and turn on a lamp. ,False
look_at_obj_in_light,look_at_obj_in_light-Pillow-None-DeskLamp-306/trial_T20190909_075045_578840,train,Move a blue pillow off a bed and turn on a desk lamp.,False
look_at_obj_in_light,look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,train,examine a pillow with a lamp,False
look_at_obj_in_light,look_at_obj_in_light-Pillow-None-DeskLamp-320/trial_T20190906_225859_247598,train,Examine the middle pillow from the bed under the light of a small lamp.,False
look_at_obj_in_light,look_at_obj_in_light-Statue-None-DeskLamp-304/trial_T20190909_011906_700145,train,Examine a statue by the light of a desk lamp.,False
look_at_obj_in_light,look_at_obj_in_light-TissueBox-None-DeskLamp-328/trial_T20190907_201322_516201,train,"Turn on a desk lamp, pick up a box of tissues",False
look_at_obj_in_light,look_at_obj_in_light-Watch-None-DeskLamp-205/trial_T20190907_001948_509721,train,View a watch by lamp light. ,False
pick_and_place_simple,pick_and_place_simple-Book-None-Bed-306/trial_T20190907_125249_700188,train,Move the book from the night stand to the bed,False
pick_and_place_simple,pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,train,get the book from the bed and put it on the desk.,False
pick_and_place_simple,pick_and_place_simple-Book-None-Desk-313/trial_T20190909_140547_719284,train,Move book to the desk.,False
pick_and_place_simple,pick_and_place_simple-Book-None-Sofa-202/trial_T20190907_043652_096323,train,Collect a book to read on the sofa,False
pick_and_place_simple,pick_and_place_simple-Candle-None-Toilet-409/trial_T20190908_142251_407168,train,Move a candle from the bathroom counter to the back of the toilet. ,False
pick_and_place_simple,pick_and_place_simple-CellPhone-None-ArmChair-318/trial_T20190909_120136_895030,train,Place a phone on the sofa seat.,False
pick_and_place_simple,pick_and_place_simple-CellPhone-None-Bed-313/trial_T20190907_092308_442494,train,Move a phone from the desk to the bed,False
pick_and_place_simple,pick_and_place_simple-Laptop-None-Ottoman-203/trial_T20190908_110713_350931,train,Get the laptop from the sofa going to the foot rest,False
pick_and_place_simple,pick_and_place_simple-Pencil-None-Shelf-313/trial_T20190908_182722_927182,train,move the pencil from the top of the stand to the shelf on the left of the stand,False
pick_and_place_simple,pick_and_place_simple-Pencil-None-SideTable-309/trial_T20190909_040329_875526,train,Place a pencil on a table.,False
pick_and_place_simple,pick_and_place_simple-Pencil-None-SideTable-309/trial_T20190909_064559_662348,train,Put a pencil on the night stand. ,False
pick_and_place_simple,pick_and_place_simple-PepperShaker-None-Drawer-5/trial_T20190908_195236_701456,train,Put a salt shaker in the drawer.,False
pick_and_place_simple,pick_and_place_simple-Statue-None-CoffeeTable-230/trial_T20190909_145138_877153,train,Move a dog statue from the dining table to the coffee table.,False
pick_and_place_simple,pick_and_place_simple-TissueBox-None-Toilet-402/trial_T20190908_060020_023543,train,Put a box of tissue on the toilet. ,False
pick_and_place_simple,pick_and_place_simple-TissueBox-None-Toilet-426/trial_T20190909_043641_389014,train,Move a box of tissues from the dresser to the lid of the toilet tank.,False
pick_and_place_simple,pick_and_place_simple-ToiletPaper-None-GarbageCan-403/trial_T20190907_034528_884833,train,Throwing the cardboard tube in the trash,False
pick_and_place_simple,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-401/trial_T20190908_215242_151083,train,Place toilet paper on the holder.,False
pick_and_place_simple,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-409/trial_T20190907_152834_016179,train,place the toilet paper roll roller in the toilet paper roll holder,False
pick_and_place_simple,pick_and_place_simple-Tomato-None-Microwave-5/trial_T20190918_171755_707602,train,Put a tomato in the microwave. ,False
