unique_id,task_desc,obj_type,verbs,goal_phase,issue_text,learning_text,valid_level,issue_task_id,issue_trial_num,issue_step_range,evidence_task_id,evidence_trial_num,evidence_step_range
1,look at alarmclock under the desklamp.,desklamp,"turn on, use, look at, examine",TRANSFORM,,Use the 'use [object]' command to successfully turn on the desklamp.,VALID_SAME_TRIAL,look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,1,,look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,1,
2,look at alarmclock under the desklamp.,"alarmclock, desklamp","look at, take",ACQUIRE,,"First, pick up the alarmclock before attempting to look at it under the desklamp.",VALID_SAME_TRIAL,look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,1,,look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,1,
3,look at book under the desklamp.,"book, desklamp",put,PLACE,,Place the book specifically under the desklamp to fulfill the task requirement.,VALID_SAME_TRIAL,look_at_obj_in_light-Book-None-DeskLamp-316,1,,look_at_obj_in_light-Book-None-DeskLamp-316,1,
4,look at book under the desklamp.,"book, desklamp",put,PLACE,,Turn on the desklamp using the 'use' command before attempting to place objects under it for observation.,VALID_SAME_TRIAL,look_at_obj_in_light-Book-None-DeskLamp-316,1,,look_at_obj_in_light-Book-None-DeskLamp-316,1,
5,examine the book with the desklamp.,"book, desklamp","examine, use",TRANSFORM,,"To examine an object with a desklamp, first activate the desklamp using the 'use' command.",VALID_SAME_TRIAL,look_at_obj_in_light-Book-None-DeskLamp-320/trial_T20190909_152445_177541,1,,look_at_obj_in_light-Book-None-DeskLamp-320/trial_T20190909_152445_177541,1,
6,examine the cellphone with the desklamp.,"CellPhone, DeskLamp","examine, go to, look_at, take, use",ACQUIRE,,"To examine an object, it must first be picked up or held by the agent.",VALID_SAME_TRIAL,look_at_obj_in_light-CellPhone-None-DeskLamp-316,1,,look_at_obj_in_light-CellPhone-None-DeskLamp-316,1,
7,look at laptop under the desklamp.,drawer,"go to, open",SEARCH,,"If `go to` fails for a container, try interacting directly with it using commands like `open`.",VALID_NEXT_TRIAL,look_at_obj_in_light-Laptop-None-DeskLamp-323,1,,look_at_obj_in_light-Laptop-None-DeskLamp-323,2,
8,look at laptop under the desklamp.,"laptop, desk, desklamp","place, put, use",PLACE,,Explicit placement might not be required; ensure the object is in the same location as the light source and activate the light source.,VALID_NEXT_TRIAL,look_at_obj_in_light-Laptop-None-DeskLamp-323,5,,look_at_obj_in_light-Laptop-None-DeskLamp-323,6,
9,look at laptop under the desklamp.,dresser,open,SEARCH,,No specific learning was applied to resolve this issue within the provided trials.,CANDIDATE,look_at_obj_in_light-Laptop-None-DeskLamp-323,6,,look_at_obj_in_light-Laptop-None-DeskLamp-323,6,
10,examine the mug with the desklamp.,"mug, desklamp","look at, examine, use",SEARCH,,Search for the object at a different location when it's not found at the current one.,VALID_SAME_TRIAL,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,
11,examine the mug with the desklamp.,"mug, desklamp","look at, examine, use",ACQUIRE,,"If an object cannot be taken, bring the other required object to its location.",VALID_SAME_TRIAL,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,
12,examine the mug with the desklamp.,"mug, desklamp","look at, examine, use",TRANSFORM,,Turn on the desklamp before attempting to use it for examination.,VALID_SAME_TRIAL,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,,look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,1,
13,examine the newspaper with the desklamp.,desklamp,"take, move",ACQUIRE,,Use the desklamp in its fixed location by turning it on.,VALID_SAME_TRIAL,look_at_obj_in_light-Newspaper-None-DeskLamp-216,1,,look_at_obj_in_light-Newspaper-None-DeskLamp-216,1,
14,examine the newspaper with the desklamp.,newspaper,take,ACQUIRE,,The newspaper can be taken from its location to bring it to the desklamp.,VALID_NEXT_TRIAL,look_at_obj_in_light-Newspaper-None-DeskLamp-216,1,,look_at_obj_in_light-Newspaper-None-DeskLamp-216,2,
15,examine the newspaper with the desklamp.,"newspaper, desklamp",examine,TRANSFORM,,Bring the newspaper to the desklamp's location after turning the desklamp on.,VALID_NEXT_TRIAL,look_at_obj_in_light-Newspaper-None-DeskLamp-216,1,,look_at_obj_in_light-Newspaper-None-DeskLamp-216,2,
