variant,task_id,task_desc,react_success,variant_success,react_reward,variant_reward,delta_reward,react_steps,variant_steps,help_calls,status,failure_mode,react_final_sql,variant_final_sql,variant_memories
CR,sql_66,Show the stadium name and the number of concerts in each stadium.,1,0,1.0000,0.5600,-0.4400,8,8,0,regression,join inclusivity / zero-row inclusion,"SELECT s.Name, COUNT(c.concert_ID) AS num_concerts FROM stadium AS s JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name","SELECT s.Name, COUNT(c.concert_ID) AS number_of_concerts FROM stadium AS s LEFT JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name;","84 (0.746): Find the total number of tours for each ranking date. | issue=Query returned an empty result set, leading to confusion about data existence. | learning=Recognize that an empty result set can be the correct answer if the underlying table is empty. || 281 (0.722): Find the name of tourney that has more than 10 matches. | issue=Not checking table emptiness before attempting complex queries. | learning=Prioritize checking table row count with `SELECT COUNT(*)` to avoid misinterpreting empty results."
CR,sql_117,Which airlines have less than 200 flights?,1,1,1.0000,1.0000,+0.0000,8,6,0,same,neutral_query_change,"SELECT a.Airline FROM airlines AS a JOIN flights AS f ON a.uid = f.Airline GROUP BY a.uid, a.Airline HAVING COUNT(*) < 200","SELECT a.Airline FROM airlines AS a JOIN flights AS f ON a.uid = f.Airline GROUP BY a.uid, a.Airline HAVING COUNT(f.FlightNo) < 200;","117 (0.594): What are the names and ids of every course with less than 2 sections? | issue=Incorrectly counting sections using COUNT(*) instead of COUNT(section_id) after a JOIN. | learning=When counting related entities after a JOIN, use COUNT(specific_id) to avoid counting duplicate rows from the join."
CR,sql_120,find the pixel aspect ratio and nation of the tv channels that do not use English.,1,0,1.0000,0.2500,-0.7500,6,8,0,regression,set granularity / duplicate collapse,"SELECT Pixel_aspect_ratio_PAR, Country FROM tv_channel WHERE Language != 'English'","SELECT DISTINCT Pixel_aspect_ratio_PAR, Country FROM tv_channel WHERE id NOT IN ( SELECT id FROM tv_channel WHERE Language = 'English' );","170 (0.700): Return the country codes for countries that do not speak English. | issue=Incorrect filtering logic: `WHERE Language != 'English'` returns countries that speak *... | learning=To find countries that do not speak a specific language, use `NOT IN` with a subquery to exclude countries where that..."
CR,sql_185,What are the death and injury situations caused by the ship with tonnage 't'?,1,1,1.0000,1.0000,+0.0000,8,5,0,same,unchanged,"SELECT d.killed, d.injured FROM death AS d JOIN ship AS s ON d.caused_by_ship_id = s.id WHERE s.tonnage = 't';","SELECT d.killed, d.injured FROM death AS d JOIN ship AS s ON d.caused_by_ship_id = s.id WHERE s.tonnage = 't';","77 (0.588): What are each owner's first name, last name, and the size of their dog? | issue=Incomplete SQL query leading to syntax error. | learning=Construct a complete SQL SELECT statement with all necessary clauses (FROM, JOIN, ON). || 78 (0.588): What are each owner's first name, last name, and the size of their dog? | issue=Missing JOIN conditions to link owners, dogs, and sizes tables. | learning=Use JOIN clauses with appropriate ON conditions (owner_id, size_code) to link related tables. || 79 (0.588): What are each owner's first name, last name, and the size of their dog? | issue=Not specifying columns to select from joined tables. | learning=Explicitly select required columns (first_name, last_name, size_description) from the joined tables."
CR,sql_204,which countries' tv channels are not playing any cartoon written by Todd Casey?,0,1,0.3333,1.0000,+0.6667,8,7,0,improvement,improvement,SELECT DISTINCT t.Country FROM tv_channel AS t WHERE t.id NOT IN ( SELECT c.Channel FROM cartoon AS c WHERE c.Written_by = 'Todd Casey' ),SELECT DISTINCT tc.Country FROM tv_channel AS tc WHERE tc.Country IS NOT NULL AND tc.Country NOT IN ( SELECT DISTINCT tc2.Country FROM tv_channel AS tc2 JOIN cartoon AS c ON tc2.id = c.Channel WHERE c.Written_by = 'Todd Casey' AND tc2.Country IS NOT NULL );,"170 (0.529): Return the country codes for countries that do not speak English. | issue=Incorrect filtering logic: `WHERE Language != 'English'` returns countries that speak *... | learning=To find countries that do not speak a specific language, use `NOT IN` with a subquery to exclude countries where that..."
TR,sql_66,Show the stadium name and the number of concerts in each stadium.,1,0,1.0000,0.5600,-0.4400,8,4,0,regression,prompt-only join inclusivity drift,"SELECT s.Name, COUNT(c.concert_ID) AS num_concerts FROM stadium AS s JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name","SELECT s.Name, COUNT(c.concert_ID) AS number_of_concerts FROM stadium AS s LEFT JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name;",
TR,sql_117,Which airlines have less than 200 flights?,1,1,1.0000,1.0000,+0.0000,8,6,0,same,neutral_query_change,"SELECT a.Airline FROM airlines AS a JOIN flights AS f ON a.uid = f.Airline GROUP BY a.uid, a.Airline HAVING COUNT(*) < 200","SELECT a.Airline FROM airlines AS a JOIN flights AS f ON a.uid = f.Airline GROUP BY a.uid, a.Airline HAVING COUNT(*) < 200;",
TR,sql_120,find the pixel aspect ratio and nation of the tv channels that do not use English.,1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,"SELECT Pixel_aspect_ratio_PAR, Country FROM tv_channel WHERE Language != 'English'","SELECT Pixel_aspect_ratio_PAR, Country FROM tv_channel WHERE Language <> 'English';",
TR,sql_185,What are the death and injury situations caused by the ship with tonnage 't'?,1,1,1.0000,1.0000,+0.0000,8,5,0,same,unchanged,"SELECT d.killed, d.injured FROM death AS d JOIN ship AS s ON d.caused_by_ship_id = s.id WHERE s.tonnage = 't';","SELECT d.killed, d.injured FROM death AS d JOIN ship AS s ON d.caused_by_ship_id = s.id WHERE s.tonnage = 't';",
TR,sql_204,which countries' tv channels are not playing any cartoon written by Todd Casey?,0,0,0.3333,0.3333,+0.0000,8,8,0,same,neutral_query_change,SELECT DISTINCT t.Country FROM tv_channel AS t WHERE t.id NOT IN ( SELECT c.Channel FROM cartoon AS c WHERE c.Written_by = 'Todd Casey' ),SELECT DISTINCT t.Country FROM tv_channel AS t LEFT JOIN cartoon AS c ON t.id = c.Channel AND c.Written_by = 'Todd Casey' WHERE c.id IS NULL;,
CR+TR,sql_66,Show the stadium name and the number of concerts in each stadium.,1,0,1.0000,0.5600,-0.4400,8,6,0,regression,join inclusivity / zero-row inclusion,"SELECT s.Name, COUNT(c.concert_ID) AS num_concerts FROM stadium AS s JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name","SELECT s.Name, COUNT(c.concert_ID) AS number_of_concerts FROM stadium AS s LEFT JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name;","84 (0.746): Find the total number of tours for each ranking date. | issue=Query returned an empty result set, leading to confusion about data existence. | learning=Recognize that an empty result set can be the correct answer if the underlying table is empty. || 281 (0.722): Find the name of tourney that has more than 10 matches. | issue=Not checking table emptiness before attempting complex queries. | learning=Prioritize checking table row count with `SELECT COUNT(*)` to avoid misinterpreting empty results."
