variant,task_id,task_desc,react_success,variant_success,react_reward,variant_reward,delta_reward,react_steps,variant_steps,help_calls,status,failure_mode,react_final_sql,variant_final_sql,variant_memories
hard-neg CR+TR,sql_6,"For each hometown, how many teachers are there?",1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,"SELECT Hometown, COUNT(*) AS num_teachers FROM teacher GROUP BY Hometown","SELECT Hometown, COUNT(*) AS teacher_count FROM teacher GROUP BY Hometown;","272 (0.467): What is the official language used in the country the name of whose head of s... | issue=Misinterpretation of 'the official language' when multiple official languages exist. | learning=Re-evaluate query results and problem statement to identify the most appropriate answer. || 151 (0.481): Give the average life expectancy for countries in Africa which are republics? | issue=Incorrectly using LIKE '%Republic%' instead of '=' for GovernmentForm. | learning=Use exact string matching with '=' when the value is known to be precise, not LIKE."
hard-neg CR+TR,sql_10,List the title of all cartoons in alphabetical order.,1,1,1.0000,1.0000,+0.0000,6,5,0,same,neutral_query_change,SELECT Title FROM cartoon ORDER BY Title,SELECT Title FROM cartoon ORDER BY Title;,85 (0.462): What is the average life expectancy in African countries that are republics? | issue=Incorrectly using LIKE for exact string matching on GovernmentForm. | learning=Use the exact equality operator (=) for precise string matching when the value is known. || 34 (0.462): What is the total number of countries where Spanish is spoken by the largest ... | issue=Incorrect logic to identify countries where Spanish is the most spoken language. | learning=Use a subquery to find the maximum percentage for each country and filter for Spanish.
hard-neg CR+TR,sql_15,What are the names of the teachers ordered by ascending age?,1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,SELECT Name FROM teacher ORDER BY CAST(Age AS SIGNED) ASC,SELECT Name FROM teacher ORDER BY CAST(Age AS UNSIGNED) ASC;,"49 (0.450): How many countries have a republic as their form of government? | issue=Incorrect filtering logic using LIKE instead of exact match for 'Republic'. | learning=Use an exact match with '=' when the entire string value is known, instead of LIKE for specific values. || 34 (0.459): What is the total number of countries where Spanish is spoken by the largest ... | issue=Incorrect logic to identify countries where Spanish is the most spoken language. | learning=Use a subquery to find the maximum percentage for each country and filter for Spanish. || 88 (0.467): What languages are only used by a single country with a republic government? | issue=Incorrect aggregation logic for counting distinct countries per language. | learning=Use COUNT(T2.CountryCode) instead of COUNT(DISTINCT T1.Code) in HAVING clause for correct aggregation."
hard-neg CR+TR,sql_19,"What are flight numbers of flights arriving at City ""Aberdeen""?",1,1,1.0000,1.0000,+0.0000,14,13,0,same,neutral_query_change,SELECT f.FlightNo FROM flights AS f JOIN airports AS a ON f.DestAirport = a.AirportCode WHERE TRIM(a.City) = 'Aberdeen';,SELECT f.FlightNo FROM flights AS f JOIN airports AS a ON TRIM(f.DestAirport) = TRIM(a.AirportCode) WHERE TRIM(a.City) = 'Aberdeen';,34 (0.420): What is the total number of countries where Spanish is spoken by the largest ... | issue=Incorrect logic to identify countries where Spanish is the most spoken language. | learning=Use a subquery to find the maximum percentage for each country and filter for Spanish. || 272 (0.437): What is the official language used in the country the name of whose head of s... | issue=Misinterpretation of 'the official language' when multiple official languages exist. | learning=Re-evaluate query results and problem statement to identify the most appropriate answer.
hard-neg CR+TR,sql_28,Which abbreviation corresponds to Jetblue Airways?,1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,SELECT Abbreviation FROM airlines WHERE Airline = 'Jetblue Airways',SELECT Abbreviation FROM airlines WHERE Airline = 'Jetblue Airways';,"336 (0.416): Show name of all students who have some friends and also are liked by someone... | issue=Misinterpretation of 'have friends' and 'liked by someone' in subquery logic. | learning=Carefully define subquery conditions: 'have friends' means ID in (friend.student_id UNION friend.friend_id); 'liked b... || 286 (0.419): Which owner owns the most dogs? List the owner id, first name and last name. | issue=Incomplete SQL query leading to syntax error. | learning=Construct a complete SQL query including SELECT, FROM, JOIN, GROUP BY, ORDER BY, and LIMIT clauses."
hard-neg CR+TR,sql_30,What is the ship id and name that caused most total injuries?,0,0,0.0000,0.0000,+0.0000,8,6,0,same,unchanged,"SELECT s.id, s.name FROM ship AS s JOIN death AS d ON s.id = d.caused_by_ship_id GROUP BY s.id, s.name ORDER BY SUM(d.injured) DESC LIMIT 1;","SELECT s.id, s.name FROM ship AS s JOIN death AS d ON s.id = d.caused_by_ship_id GROUP BY s.id, s.name ORDER BY SUM(d.injured) DESC LIMIT 1;","151 (0.443): Give the average life expectancy for countries in Africa which are republics? | issue=Incorrectly using LIKE '%Republic%' instead of '=' for GovernmentForm. | learning=Use exact string matching with '=' when the value is known to be precise, not LIKE. || 85 (0.444): What is the average life expectancy in African countries that are republics? | issue=Incorrectly using LIKE for exact string matching on GovernmentForm. | learning=Use the exact equality operator (=) for precise string matching when the value is known."
hard-neg CR+TR,sql_31,How many flights arriving in Aberdeen city?,1,1,1.0000,1.0000,+0.0000,8,15,0,same,neutral_query_change,SELECT COUNT(*) AS num_flights FROM flights JOIN airports ON flights.DestAirport = airports.AirportCode WHERE airports.City = 'Aberdeen';,SELECT COUNT(*) AS num_flights FROM flights AS f JOIN airports AS a ON f.DestAirport = a.AirportCode WHERE TRIM(a.City) = 'Aberdeen';,
hard-neg CR+TR,sql_38,List the name and date the battle that has lost the ship named 'Lettice' and the ship named 'HMS Atalanta',1,0,1.0000,0.5000,-0.5000,6,8,0,regression,duplicate policy drift,"SELECT DISTINCT b.name, b.date FROM ship AS s JOIN battle AS b ON s.lost_in_battle = b.id WHERE s.name IN ('Lettice', 'HMS Atalanta');","SELECT b.name, b.date FROM ship AS s JOIN battle AS b ON s.lost_in_battle = b.id WHERE s.name IN ('Lettice', 'HMS Atalanta');","260 (0.411): What is the first, middle, and last name, along with the id and number of enr... | issue=Incomplete SQL query, resulting in syntax error. | learning=Always provide a complete SQL statement including SELECT, FROM, and other clauses."
hard-neg CR+TR,sql_39,List all singer names in concerts in year 2014.,0,0,0.8300,0.8300,+0.0000,9,6,0,same,neutral_query_change,SELECT DISTINCT s.Name FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.concert_ID = c.concert_ID WHERE c.Year = '2014',SELECT DISTINCT s.Name FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.concert_ID = c.concert_ID WHERE c.Year = '2014';,"85 (0.435): What is the average life expectancy in African countries that are republics? | issue=Incorrectly using LIKE for exact string matching on GovernmentForm. | learning=Use the exact equality operator (=) for precise string matching when the value is known. || 151 (0.438): Give the average life expectancy for countries in Africa which are republics? | issue=Incorrectly using LIKE '%Republic%' instead of '=' for GovernmentForm. | learning=Use exact string matching with '=' when the value is known to be precise, not LIKE. || 272 (0.459): What is the official language used in the country the name of whose head of s... | issue=Misinterpretation of 'the official language' when multiple official languages exist. | learning=Re-evaluate query results and problem statement to identify the most appropriate answer."
hard-neg CR+TR,sql_42,What country is Jetblue Airways affiliated with?,1,1,1.0000,1.0000,+0.0000,8,4,0,same,unchanged,SELECT Country FROM airlines WHERE Airline = 'Jetblue Airways';,SELECT Country FROM airlines WHERE Airline = 'Jetblue Airways';,
