run_group,run_root,split,framework,seed,run_dir,task_count,success_count,success_rate,avg_reward,avg_steps,context_tasks,retrieved_learnings_total,avg_retrieved_learnings_per_task,help_calls_total,avg_help_calls_per_task,total_steps,avg_steps_from_trajectories,input_tokens_total,output_tokens_total,total_tokens_total,cached_tokens_total,avg_total_tokens_per_task,cost_total,avg_cost_per_task
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react/seed_0,134,91,0.6791044776119403,,20.87313432835821,0,0,0.0,0,0.0,2797.0,20.87313432835821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react/seed_1,134,91,0.6791044776119403,,21.059701492537314,0,0,0.0,0,0.0,2822.0,21.059701492537314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react/seed_2,134,91,0.6791044776119403,,21.059701492537314,0,0,0.0,0,0.0,2822.0,21.059701492537314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_cr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_cr/seed_0,134,88,0.6567164179104478,0.6567164179104478,28.29850746268657,132,543,4.052238805970149,0,0.0,3792.0,28.29850746268657,6586660.0,80703.0,6667363.0,94758.0,49756.44029850746,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_cr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_cr/seed_1,134,84,0.6268656716417911,0.6268656716417911,28.559701492537314,132,543,4.052238805970149,0,0.0,3827.0,28.559701492537314,6713508.0,83270.0,6796778.0,117218.0,50722.22388059701,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_cr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_cr/seed_2,134,85,0.6343283582089553,0.6343283582089553,28.828358208955223,132,543,4.052238805970149,0,0.0,3863.0,28.828358208955223,6781569.0,83580.0,6865149.0,118223.0,51232.4552238806,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_cr_tr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_cr_tr/seed_0,134,111,0.8283582089552238,0.8283582089552238,26.380597014925375,132,543,4.052238805970149,206,1.537313432835821,3535.0,26.380597014925375,7738737.0,60633.0,7799370.0,401898.0,58204.253731343284,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_cr_tr,1,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_cr_tr/seed_1,134,111,0.8283582089552238,0.8283582089552238,26.37313432835821,132,543,4.052238805970149,206,1.537313432835821,3534.0,26.37313432835821,7736431.0,60529.0,7796960.0,425321.0,58186.26865671642,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_cr_tr,2,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_cr_tr/seed_2,134,111,0.8283582089552238,0.8283582089552238,26.388059701492537,132,543,4.052238805970149,206,1.537313432835821,3536.0,26.388059701492537,7741900.0,60650.0,7802550.0,473382.0,58227.985074626864,0.0,0.0
alfworld_trials7_gemini,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini,unseen,react_hard_neg_cr_tr,0,/Users/rishisim/Documents/research/ltm-tables-figures/final_runs/eval/alfworld_trials7_gemini/unseen/react_hard_neg_cr_tr/seed_0,134,75,0.5597014925373134,0.5597014925373134,34.649253731343286,134,626,4.6716417910447765,353,2.6343283582089554,4643.0,34.649253731343286,12954986.0,181604.0,13136590.0,1834846.0,98034.25373134328,0.0,0.0
