variant,task_id,task_desc,react_success,variant_success,react_reward,variant_reward,delta_reward,react_steps,variant_steps,help_calls,status,failure_mode,react_final_sql,variant_final_sql,variant_memories
CR,sql_49,list all cartoon titles and their directors ordered by their air date,1,0,1.0000,-0.0300,-1.0300,6,5,0,regression,spurious temporal normalization,"SELECT Title, Directed_by FROM cartoon ORDER BY Original_air_date","SELECT Title, Directed_by FROM cartoon ORDER BY STR_TO_DATE(Original_air_date, '%M%e,%Y');","149 (0.613): What are the full names of all players, sorted by birth date? | issue=Assuming table is empty without explicit verification. | learning=Verify table emptiness with SELECT COUNT(*) before assuming no data. || 329 (0.599): Show the date of the transcript which shows the least number of results, also... | issue=Incorrect query structure for finding minimum count and joining, leading to an incomple... | learning=Use a subquery to find the minimum count first, then join with the main table to retrieve desired columns. || 314 (0.599): What are the ids and names of each document, as well as the number of paragra... | issue=Incomplete SQL query leading to syntax error. | learning=Construct a complete SQL query with SELECT, FROM, JOIN, ON, and GROUP BY clauses."
CR,sql_66,Show the stadium name and the number of concerts in each stadium.,1,0,1.0000,0.5600,-0.4400,8,8,0,regression,join inclusivity / zero-row inclusion,"SELECT s.Name, COUNT(c.concert_ID) AS num_concerts FROM stadium AS s JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name","SELECT s.Name, COUNT(c.concert_ID) AS number_of_concerts FROM stadium AS s LEFT JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name;","84 (0.746): Find the total number of tours for each ranking date. | issue=Query returned an empty result set, leading to confusion about data existence. | learning=Recognize that an empty result set can be the correct answer if the underlying table is empty. || 281 (0.722): Find the name of tourney that has more than 10 matches. | issue=Not checking table emptiness before attempting complex queries. | learning=Prioritize checking table row count with `SELECT COUNT(*)` to avoid misinterpreting empty results."
CR,sql_120,find the pixel aspect ratio and nation of the tv channels that do not use English.,1,0,1.0000,0.2500,-0.7500,6,8,0,regression,set granularity / duplicate collapse,"SELECT Pixel_aspect_ratio_PAR, Country FROM tv_channel WHERE Language != 'English'","SELECT DISTINCT Pixel_aspect_ratio_PAR, Country FROM tv_channel WHERE id NOT IN ( SELECT id FROM tv_channel WHERE Language = 'English' );","170 (0.700): Return the country codes for countries that do not speak English. | issue=Incorrect filtering logic: `WHERE Language != 'English'` returns countries that speak *... | learning=To find countries that do not speak a specific language, use `NOT IN` with a subquery to exclude countries where that..."
TR,sql_66,Show the stadium name and the number of concerts in each stadium.,1,0,1.0000,0.5600,-0.4400,8,4,0,regression,prompt-only join inclusivity drift,"SELECT s.Name, COUNT(c.concert_ID) AS num_concerts FROM stadium AS s JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name","SELECT s.Name, COUNT(c.concert_ID) AS number_of_concerts FROM stadium AS s LEFT JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name;",
CR+TR,sql_66,Show the stadium name and the number of concerts in each stadium.,1,0,1.0000,0.5600,-0.4400,8,6,0,regression,join inclusivity / zero-row inclusion,"SELECT s.Name, COUNT(c.concert_ID) AS num_concerts FROM stadium AS s JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name","SELECT s.Name, COUNT(c.concert_ID) AS number_of_concerts FROM stadium AS s LEFT JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name;","84 (0.746): Find the total number of tours for each ranking date. | issue=Query returned an empty result set, leading to confusion about data existence. | learning=Recognize that an empty result set can be the correct answer if the underlying table is empty. || 281 (0.722): Find the name of tourney that has more than 10 matches. | issue=Not checking table emptiness before attempting complex queries. | learning=Prioritize checking table row count with `SELECT COUNT(*)` to avoid misinterpreting empty results."
CR+TR,sql_117,Which airlines have less than 200 flights?,1,0,1.0000,0.0000,-1.0000,8,6,0,regression,join inclusivity / zero-row inclusion,"SELECT a.Airline FROM airlines AS a JOIN flights AS f ON a.uid = f.Airline GROUP BY a.uid, a.Airline HAVING COUNT(*) < 200","SELECT a.Airline FROM airlines AS a LEFT JOIN flights AS f ON a.uid = f.Airline GROUP BY a.uid, a.Airline HAVING COUNT(f.Airline) < 200;","117 (0.594): What are the names and ids of every course with less than 2 sections? | issue=Incorrectly counting sections using COUNT(*) instead of COUNT(section_id) after a JOIN. | learning=When counting related entities after a JOIN, use COUNT(specific_id) to avoid counting duplicate rows from the join."
CR+TR,sql_120,find the pixel aspect ratio and nation of the tv channels that do not use English.,1,0,1.0000,0.2500,-0.7500,6,7,0,regression,set granularity / duplicate collapse,"SELECT Pixel_aspect_ratio_PAR, Country FROM tv_channel WHERE Language != 'English'","SELECT DISTINCT Pixel_aspect_ratio_PAR, Country FROM tv_channel WHERE Language <> 'English';","170 (0.700): Return the country codes for countries that do not speak English. | issue=Incorrect filtering logic: `WHERE Language != 'English'` returns countries that speak *... | learning=To find countries that do not speak a specific language, use `NOT IN` with a subquery to exclude countries where that..."
CR+TR,sql_185,What are the death and injury situations caused by the ship with tonnage 't'?,1,0,1.0000,0.0000,-1.0000,8,6,0,regression,output column drift,"SELECT d.killed, d.injured FROM death AS d JOIN ship AS s ON d.caused_by_ship_id = s.id WHERE s.tonnage = 't';","SELECT d.note, d.killed, d.injured FROM death AS d JOIN ship AS s ON d.caused_by_ship_id = s.id WHERE s.tonnage = 't';","77 (0.588): What are each owner's first name, last name, and the size of their dog? | issue=Incomplete SQL query leading to syntax error. | learning=Construct a complete SQL SELECT statement with all necessary clauses (FROM, JOIN, ON). || 78 (0.588): What are each owner's first name, last name, and the size of their dog? | issue=Missing JOIN conditions to link owners, dogs, and sizes tables. | learning=Use JOIN clauses with appropriate ON conditions (owner_id, size_code) to link related tables. || 79 (0.588): What are each owner's first name, last name, and the size of their dog? | issue=Not specifying columns to select from joined tables. | learning=Explicitly select required columns (first_name, last_name, size_description) from the joined tables."
hard-neg CR+TR,sql_38,List the name and date the battle that has lost the ship named 'Lettice' and the ship named 'HMS Atalanta',1,0,1.0000,0.5000,-0.5000,6,8,0,regression,duplicate policy drift,"SELECT DISTINCT b.name, b.date FROM ship AS s JOIN battle AS b ON s.lost_in_battle = b.id WHERE s.name IN ('Lettice', 'HMS Atalanta');","SELECT b.name, b.date FROM ship AS s JOIN battle AS b ON s.lost_in_battle = b.id WHERE s.name IN ('Lettice', 'HMS Atalanta');","260 (0.411): What is the first, middle, and last name, along with the id and number of enr... | issue=Incomplete SQL query, resulting in syntax error. | learning=Always provide a complete SQL statement including SELECT, FROM, and other clauses."
hard-neg CR+TR,sql_66,Show the stadium name and the number of concerts in each stadium.,1,0,1.0000,0.5600,-0.4400,8,5,0,regression,prompt-only join inclusivity drift,"SELECT s.Name, COUNT(c.concert_ID) AS num_concerts FROM stadium AS s JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Name","SELECT s.Name, COUNT(c.concert_ID) AS number_of_concerts FROM stadium AS s LEFT JOIN concert AS c ON s.Stadium_ID = c.Stadium_ID GROUP BY s.Stadium_ID, s.Name",272 (0.460): What is the official language used in the country the name of whose head of s... | issue=Misinterpretation of 'the official language' when multiple official languages exist. | learning=Re-evaluate query results and problem statement to identify the most appropriate answer. || 85 (0.469): What is the average life expectancy in African countries that are republics? | issue=Incorrectly using LIKE for exact string matching on GovernmentForm. | learning=Use the exact equality operator (=) for precise string matching when the value is known. || 88 (0.470): What languages are only used by a single country with a republic government? | issue=Incorrect aggregation logic for counting distinct countries per language. | learning=Use COUNT(T2.CountryCode) instead of COUNT(DISTINCT T1.Code) in HAVING clause for correct aggregation.
