variant,task_id,task_desc,react_success,variant_success,react_reward,variant_reward,delta_reward,react_steps,variant_steps,help_calls,status,failure_mode,react_final_sql,variant_final_sql,variant_memories
TR,sql_6,"For each hometown, how many teachers are there?",1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,"SELECT Hometown, COUNT(*) AS num_teachers FROM teacher GROUP BY Hometown","SELECT Hometown, COUNT(*) AS teacher_count FROM teacher GROUP BY Hometown",
TR,sql_10,List the title of all cartoons in alphabetical order.,1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,SELECT Title FROM cartoon ORDER BY Title,SELECT Title FROM cartoon ORDER BY Title ASC;,
TR,sql_15,What are the names of the teachers ordered by ascending age?,1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,SELECT Name FROM teacher ORDER BY CAST(Age AS SIGNED) ASC,SELECT Name FROM teacher ORDER BY CAST(Age AS UNSIGNED) ASC;,
TR,sql_19,"What are flight numbers of flights arriving at City ""Aberdeen""?",1,1,1.0000,1.0000,+0.0000,14,16,0,same,neutral_query_change,SELECT f.FlightNo FROM flights AS f JOIN airports AS a ON f.DestAirport = a.AirportCode WHERE TRIM(a.City) = 'Aberdeen';,SELECT DISTINCT f.FlightNo FROM flights AS f JOIN airports AS a ON f.DestAirport = a.AirportCode WHERE TRIM(a.City) = 'Aberdeen';,
TR,sql_28,Which abbreviation corresponds to Jetblue Airways?,1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,SELECT Abbreviation FROM airlines WHERE Airline = 'Jetblue Airways',SELECT Abbreviation FROM airlines WHERE Airline = 'Jetblue Airways';,
TR,sql_30,What is the ship id and name that caused most total injuries?,0,0,0.0000,0.0000,+0.0000,8,6,0,same,unchanged,"SELECT s.id, s.name FROM ship AS s JOIN death AS d ON s.id = d.caused_by_ship_id GROUP BY s.id, s.name ORDER BY SUM(d.injured) DESC LIMIT 1;","SELECT s.id, s.name FROM ship AS s JOIN death AS d ON s.id = d.caused_by_ship_id GROUP BY s.id, s.name ORDER BY SUM(d.injured) DESC LIMIT 1;",
TR,sql_31,How many flights arriving in Aberdeen city?,1,1,1.0000,1.0000,+0.0000,8,9,0,same,neutral_query_change,SELECT COUNT(*) AS num_flights FROM flights JOIN airports ON flights.DestAirport = airports.AirportCode WHERE airports.City = 'Aberdeen';,SELECT COUNT(*) AS num_flights FROM flights AS f JOIN airports AS a ON f.DestAirport = a.AirportCode WHERE TRIM(a.City) = 'Aberdeen';,
TR,sql_38,List the name and date the battle that has lost the ship named 'Lettice' and the ship named 'HMS Atalanta',1,1,1.0000,1.0000,+0.0000,6,7,0,same,neutral_query_change,"SELECT DISTINCT b.name, b.date FROM ship AS s JOIN battle AS b ON s.lost_in_battle = b.id WHERE s.name IN ('Lettice', 'HMS Atalanta');","SELECT DISTINCT b.name, b.date FROM battle AS b JOIN ship AS s ON s.lost_in_battle = b.id WHERE s.name IN ('Lettice', 'HMS Atalanta');",
TR,sql_39,List all singer names in concerts in year 2014.,0,0,0.8300,0.8300,+0.0000,9,6,0,same,neutral_query_change,SELECT DISTINCT s.Name FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.concert_ID = c.concert_ID WHERE c.Year = '2014',SELECT DISTINCT s.Name FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.concert_ID = c.concert_ID WHERE c.Year = '2014';,
TR,sql_42,What country is Jetblue Airways affiliated with?,1,1,1.0000,1.0000,+0.0000,8,5,0,same,unchanged,SELECT Country FROM airlines WHERE Airline = 'Jetblue Airways';,SELECT Country FROM airlines WHERE Airline = 'Jetblue Airways';,
