unique_id,task_desc,obj_type,verbs,goal_phase,issue_text,learning_text,valid_level,issue_task_id,issue_trial_num,issue_step_range,evidence_task_id,evidence_trial_num,evidence_step_range
1,"Find me men's sandals with rubber outsole, rubber sole with color: black - schwarz ((hank foto) bla), and size: 9 uk, and price lower than 70.00 dollars","men's sandals, purchase action",buy,PURCHASE,Agent outputs ASIN instead of buying for 'Find me' task.,"For 'Find me' tasks, the final action might be to click 'Buy Now' if all criteria are met.",VALID_NEXT_TRIAL,webshop_9,2,30-30,webshop_9,5,13-13
2,"Find me men's sandals with rubber outsole, rubber sole with color: black - schwarz ((hank foto) bla), and size: 9 uk, and price lower than 70.00 dollars","men's sandals, sole material",click,SELECT,"Agent misidentified sole material, overlooking 'rubber outsole' in description.","Always check both 'Description' and 'Features' for sole material, as 'Synthetic sole' might still be rubber if description confirms.",VALID_NEXT_TRIAL,webshop_9,2,10-11,webshop_9,1,10-11
3,"Find me men's sandals with rubber outsole, rubber sole with color: black - schwarz ((hank foto) bla), and size: 9 uk, and price lower than 70.00 dollars","men's sandals, size",click,SELECT,Agent selected size '9' without confirming it was '9 UK'.,"Prioritize products with explicit size units (e.g., '9 m uk') or verify size conversion if only numbers are provided.",VALID_SAME_TRIAL,webshop_9,2,20-21,webshop_9,2,26-26
4,"Find me men's sandals with rubber outsole, rubber sole with color: black - schwarz ((hank foto) bla), and size: 9 uk, and price lower than 70.00 dollars","men's sandals, attributes",click,SELECT,Agent failed to explicitly check sole material for a product before concluding.,Always explicitly click 'Description' or 'Features' to verify all required attributes before concluding.,VALID_NEXT_TRIAL,webshop_9,3,6-7,webshop_9,4,11-12
5,"Find me women's tops, tees & blouses with button closure, long sleeve with color: violet, and size: xx-large, and price lower than 60.00 dollars","tops, tees & blouses, button closure, long sleeve, color, size, price",search,SEARCH,"Initial search queries were too specific, returning irrelevant results.","Simplify search queries to core product type, then filter attributes on product pages.",VALID_NEXT_TRIAL,webshop_53,1,1-4,webshop_53,2,4-5
6,"Find me women's tops, tees & blouses with button closure, long sleeve with color: violet, and size: xx-large, and price lower than 60.00 dollars","color, size",click,BROWSE,"Clicking products without verifying all required attributes (color, size).","Thoroughly check all product attributes (color, size) on the product page before buying.",VALID_NEXT_TRIAL,webshop_53,2,10-11,webshop_53,4,10-13
7,"Find me women's tops, tees & blouses with button closure, long sleeve with color: violet, and size: xx-large, and price lower than 60.00 dollars",color,click,SELECT,"Overly strict interpretation of color names, missing suitable alternatives.","Be flexible with color names and consider close shades (e.g., 'a3-purple' for 'violet').",VALID_NEXT_TRIAL,webshop_53,2,10-11,webshop_53,4,11-12
8,"Find me women's skirts with high waist, elastic waistband for daily wear with color: solid green, and size: large, and price lower than 60.00 dollars",women's skirts,search,SEARCH,Initial search query returned many irrelevant products like shorts and tennis skirts.,Carefully browse and filter initial search results to identify relevant products despite query noise.,VALID_SAME_TRIAL,webshop_106,1,1-3,webshop_106,1,4-5
9,"Find me women's skirts with high waist, elastic waistband for daily wear with color: solid green, and size: large, and price lower than 60.00 dollars","skirt attributes (elastic waistband, daily wear)","click, buy",SELECT,Purchased a skirt without explicitly verifying all required attributes like 'elastic waistband' and 'daily wear'.,Always confirm all specified product attributes are explicitly present in the description before purchasing.,CANDIDATE,webshop_106,1,5-9,webshop_106,1,1-9
10,"Find me easy clean area rugs for dining room, living room with color: bright blue, and item shape: runner, and size: 8 ft 10 in x 12 ft 3 in, and price lower than 240.00 dollars","area rug, shape, size",search,SEARCH,"Initial search query included contradictory ""runner"" shape with large area rug size.","Prioritized large area rug size over ""runner"" shape in search query.",VALID_NEXT_TRIAL,webshop_188,1,1-1,webshop_188,2,1-1
11,"Find me easy clean area rugs for dining room, living room with color: bright blue, and item shape: runner, and size: 8 ft 10 in x 12 ft 3 in, and price lower than 240.00 dollars",product link,click,BROWSE,Repeatedly clicking a product link failed to navigate to the product page.,Successfully clicked product link and navigated to product details page.,VALID_NEXT_TRIAL,webshop_188,2,15-20,webshop_188,4,7-7
12,"Find me easy clean area rugs for dining room, living room with color: bright blue, and item shape: runner, and size: 8 ft 10 in x 12 ft 3 in, and price lower than 240.00 dollars","area rug, color, size","search, click",SEARCH,"Strict adherence to ""bright blue"" color and exact size led to no suitable results.","Broadened search to ""blue"" and accepted approximate sizes (e.g., 8x10) to find a suitable product.",VALID_NEXT_TRIAL,webshop_188,3,3-7,webshop_188,4,5-7
13,"Find me loose fit women's sweaters with polyester cotton, short sleeve, long sleeve for teen girls, daily wear with color: z11-beige, and size: small, and price lower than 30.00 dollars","sweaters, size","click, buy",SELECT,Failed to select required 'small' size due to missing options on product page.,Consult product description for material and size details when options are not directly clickable.,VALID_NEXT_TRIAL,webshop_319,1,5-6,webshop_319,6,5-7
14,"Find me loose fit women's sweaters with polyester cotton, short sleeve, long sleeve for teen girls, daily wear with color: z11-beige, and size: small, and price lower than 30.00 dollars","sweaters, color",click,SELECT,Product B08RYDYFGD did not offer the required 'z11-beige' color.,,CANDIDATE,webshop_319,1,15-16,,,
