unique_id,task_desc,obj_type,verbs,goal_phase,issue_text,learning_text,valid_level,issue_task_id,issue_trial_num,issue_step_range,evidence_task_id,evidence_trial_num,evidence_step_range
1,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent struggles to take a cup from the table due to incorrect object naming.,"Use the exact object name as described in the observation, including its contents and location (e.g., 'cup containing nothing in table').",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,1,10-22,scienceworld_change-the-state-of-matter-of_var_0,1,23-24
2,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water source",fill,ACQUIRE,Agent repeatedly attempts to fill a cup with water using incorrect 'fill' action syntax.,"To fill a container from an activated water source, first put the container into the water source, then the container will be automatically filled.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,1,27-40,scienceworld_change-the-state-of-matter-of_var_0,1,41-42
3,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent struggles to take a filled cup from the sink due to incorrect object naming.,"Use the exact object name as described in the observation, including its contents (e.g., 'cup containing water').",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,1,47-52,scienceworld_change-the-state-of-matter-of_var_0,1,53-54
4,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",freezer,activate,PROCEDURE,Agent places water in freezer but fails to activate the freezer to freeze the water.,"After placing an object in a temperature-changing appliance, activate the appliance to initiate the process.",VALID_NEXT_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,1,65-68,scienceworld_change-the-state-of-matter-of_var_0,2,1-1
5,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water source",fill,ACQUIRE,Agent repeatedly attempts to fill a cup with water using incorrect 'fill' action syntax.,"To fill a container from an activated water source, first put the container into the water source, then the container will be automatically filled.",VALID_NEXT_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,2,20-48,scienceworld_change-the-state-of-matter-of_var_0,3,14-15
6,"Your task is to use chemistry to create the substance 'salt water'. A recipe and some of the ingredients might be found near the kitchen. When you are done, focus on the salt water.",instructions,"examine, read",SEARCH,Used 'examine' instead of 'read' to get recipe content.,Use 'read' action to view the content of instructions or recipes.,VALID_SAME_TRIAL,scienceworld_chemistry-mix_var_0,1,6-7,scienceworld_chemistry-mix_var_0,1,10-11
7,"Your task is to use chemistry to create the substance 'salt water'. A recipe and some of the ingredients might be found near the kitchen. When you are done, focus on the salt water.","substance, container","take, open",ACQUIRE,Attempted to take sodium chloride directly without opening its container.,"If an item cannot be taken directly, check if it's inside an openable container.",VALID_SAME_TRIAL,scienceworld_chemistry-mix_var_0,1,14-15,scienceworld_chemistry-mix_var_0,1,26-27
8,"Your task is to use chemistry to create the substance 'salt water'. A recipe and some of the ingredients might be found near the kitchen. When you are done, focus on the salt water.","container, water","fill, put",ACQUIRE,Attempted to fill a cup with water without placing it in the sink first.,"To fill a container with water from a sink, first place the container in the sink.",VALID_SAME_TRIAL,scienceworld_chemistry-mix_var_0,1,36-37,scienceworld_chemistry-mix_var_0,1,44-45
9,"Your task is to use chemistry to create green paint. When you are done, focus on the green paint.","paint, cup, jug","take, pour",ACQUIRE,"Attempted to 'take' paint from a cup, which is not a valid action.","To transfer liquids like paint, use the 'pour [substance] into [container]' action instead of 'take'.",VALID_SAME_TRIAL,scienceworld_chemistry-mix-paint-secondary-color_var_0,1,6-6,scienceworld_chemistry-mix-paint-secondary-color_var_0,1,8-8
10,"Your task is to use chemistry to create green-blue paint. When you are part-way done, focus on the intermediate (secondary color) paint you created.  When you are completely done, focus on the green paint.",cup,"take, move",ACQUIRE,Agent repeatedly attempts to 'take' an empty cup using various incorrect names.,"To pick up an object, use the 'move [object] to inventory' action with the exact object name from valid actions.",CANDIDATE,scienceworld_chemistry-mix-paint-tertiary-color_var_0,1,6-48,scienceworld_chemistry-mix-paint-tertiary-color_var_0,2,2-49
