unique_id,task_desc,obj_type,verbs,goal_phase,issue_text,learning_text,valid_level,issue_task_id,issue_trial_num,issue_step_range,evidence_task_id,evidence_trial_num,evidence_step_range
1,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent attempts to 'take metal pot' which is not a valid action.,Identify interactable objects from 'look around' output and use correct 'take' action.,VALID_SAME_TRIAL,scienceworld_boil_var_0,1,8-8,scienceworld_boil_var_0,1,47-47
2,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, sink","fill, put",ACQUIRE,Agent repeatedly tries invalid 'fill' or 'put' actions to get water into a container.,"To fill a container, first 'put container in sink', then 'activate sink'.",VALID_NEXT_TRIAL,scienceworld_boil_var_0,1,12-45,scienceworld_boil_var_0,2,22-26
3,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent uses incorrect object name 'glass cup' instead of 'cup containing nothing' for 'take' action.,Use the exact object name from the observation for 'take' actions.,VALID_SAME_TRIAL,scienceworld_boil_var_0,2,6-6,scienceworld_boil_var_0,2,12-12
4,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, sink",take,ACQUIRE,Agent uses incorrect object name 'glass cup' instead of 'cup containing water' for 'take' action from sink.,"Use the exact object name from the observation for 'take' actions, especially after object state changes.",VALID_SAME_TRIAL,scienceworld_boil_var_0,2,28-28,scienceworld_boil_var_0,2,32-32
5,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",task completion,submit,ANSWER,Agent attempts to submit 'Solution: The task is complete.' after task completion.,The task is complete when the score increases after the final required action; no explicit submission is needed.,VALID_NEXT_TRIAL,scienceworld_boil_var_0,2,38-38,scienceworld_boil_var_0,6,11-11
6,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent uses incorrect object name 'cup containing nothing from table' for 'take' action.,"Use the exact object name from the observation for 'take' actions, without specifying location.",VALID_SAME_TRIAL,scienceworld_boil_var_0,3,2-2,scienceworld_boil_var_0,3,8-8
7,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, sink",take,ACQUIRE,Agent uses incorrect object name 'cup containing water from sink' for 'take' action from sink.,"Use the exact object name from the observation for 'take' actions, without specifying location.",VALID_SAME_TRIAL,scienceworld_boil_var_0,3,14-14,scienceworld_boil_var_0,3,18-18
8,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent used incorrect object name to take the glass cup from the table.,"Use the exact object name from the observation, including its contents and location, e.g., 'cup containing nothing in table'.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,1,10-16,scienceworld_change-the-state-of-matter-of_var_0,1,18-19
9,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, sink",fill,ACQUIRE,Agent repeatedly tried invalid 'fill' actions for the glass cup.,"To fill a container from a water source, first activate the source, then put the container in the source.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,1,22-35,scienceworld_change-the-state-of-matter-of_var_0,1,38-41
10,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, sink",fill,ACQUIRE,Agent repeatedly tried invalid 'fill' actions for the glass cup.,"To fill a container from a water source, first activate the source, then put the container in the source.",VALID_NEXT_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,2,20-47,scienceworld_change-the-state-of-matter-of_var_0,1,38-41
11,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, sink",fill,ACQUIRE,Agent repeatedly tried invalid 'fill' actions for the glass cup.,"To fill a container from a water source, first activate the source, then put the container in the source.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,3,10-21,scienceworld_change-the-state-of-matter-of_var_0,3,24-25
12,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent used incorrect object name to take the glass cup from the table.,"Use the exact object name from the observation, e.g., 'cup containing nothing'.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,5,6-7,scienceworld_change-the-state-of-matter-of_var_0,5,8-9
13,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, sink",fill,ACQUIRE,Agent repeatedly tried invalid 'fill' actions for the glass cup.,"To fill a container from a water source, first activate the source, then put the container in the source.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,5,14-21,scienceworld_change-the-state-of-matter-of_var_0,5,24-25
14,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent used incorrect object name to take the glass cup from the table.,"Use the exact object name from the observation, e.g., 'cup containing nothing in table'.",VALID_NEXT_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,6,4-7,scienceworld_change-the-state-of-matter-of_var_0,1,18-19
15,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent used incorrect object name to take the glass cup from the table.,"Use the exact object name from the observation, e.g., 'cup containing nothing'.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,7,4-5,scienceworld_change-the-state-of-matter-of_var_0,7,6-7
16,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, sink",fill,ACQUIRE,Agent repeatedly tried invalid 'fill' actions for the glass cup.,"To fill a container from a water source, first activate the source, then put the container in the source.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,4,8-21,scienceworld_change-the-state-of-matter-of_var_0,4,24-25
17,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, freezer",take,RECOVER,Agent used incorrect object name to take the glass cup from the freezer.,"Use the exact object name from the observation, e.g., 'glass cup'.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,4,40-43,scienceworld_change-the-state-of-matter-of_var_0,4,46-47
18,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, freezer",take,RECOVER,Agent used incorrect object name to take the glass cup from the freezer.,"Use the exact object name from the observation, e.g., 'glass cup'.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,5,50-53,scienceworld_change-the-state-of-matter-of_var_0,5,56-57
19,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, sink",take,RECOVER,Agent used incorrect object name to take the glass cup from the sink.,"Use the exact object name from the observation, e.g., 'cup containing water'.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,7,30-31,scienceworld_change-the-state-of-matter-of_var_0,7,34-35
20,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, freezer",take,RECOVER,Agent used incorrect object name to take the glass cup from the freezer.,"Use the exact object name from the observation, e.g., 'cup containing water'.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,7,48-51,scienceworld_change-the-state-of-matter-of_var_0,7,54-55
21,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","water, freezer","activate, focus",PROCEDURE,Water did not freeze in the freezer despite being placed inside and freezer activated.,"Freezing water requires placing it in the freezer, closing the freezer, and then focusing on the water.",VALID_NEXT_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,1,44-49,scienceworld_change-the-state-of-matter-of_var_0,4,36-37
22,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","water, freezer","activate, focus",PROCEDURE,Water did not freeze in the freezer despite being placed inside and freezer activated.,"Freezing water requires placing it in the freezer, closing the freezer, and then focusing on the water.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,4,30-35,scienceworld_change-the-state-of-matter-of_var_0,4,36-37
23,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","water, freezer","activate, focus",PROCEDURE,Water did not freeze in the freezer despite being placed inside and freezer activated.,"Freezing water requires placing it in the freezer, closing the freezer, and then focusing on the water.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,5,40-45,scienceworld_change-the-state-of-matter-of_var_0,5,46-47
24,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","water, freezer","activate, focus",PROCEDURE,Water did not freeze in the freezer despite being placed inside and freezer activated.,"Freezing water requires placing it in the freezer, closing the freezer, and then focusing on the water.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,7,40-45,scienceworld_change-the-state-of-matter-of_var_0,7,46-47
25,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","water, stove","activate, focus",PROCEDURE,Water did not boil on the stove despite being placed on it and stove activated.,"Boiling water requires placing it on the stove, activating the stove, and then focusing on the water.",VALID_NEXT_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,4,48-49,scienceworld_change-the-state-of-matter-of_var_0,5,66-67
26,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","water, stove","activate, focus",PROCEDURE,Water did not boil on the stove despite being placed on it and stove activated.,"Boiling water requires placing it on the stove, activating the stove, and then focusing on the water.",VALID_SAME_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,5,68-73,scienceworld_change-the-state-of-matter-of_var_0,5,66-67
27,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","water, stove","activate, focus",PROCEDURE,Water did not boil on the stove despite being placed on it and stove activated.,"Boiling water requires placing it on the stove, activating the stove, and then focusing on the water.",VALID_NEXT_TRIAL,scienceworld_change-the-state-of-matter-of_var_0,7,66-71,scienceworld_change-the-state-of-matter-of_var_0,5,66-67
28,"Your task is to change the state of matter of water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, metal pot",pour,PROCEDURE,Agent tried to pour water from glass cup into metal pot using invalid actions.,"To pour a substance from one container to another, use the action 'pour [substance] from [source container] into [target container]'.",CANDIDATE,scienceworld_change-the-state-of-matter-of_var_0,5,78-83,scienceworld_change-the-state-of-matter-of_var_0,5,78-83
29,"Your task is to use chemistry to create green paint. When you are done, focus on the green paint.","paint, cup, jug","take, pour",ACQUIRE,"Attempted to 'take' paint from a cup, which is not a valid action.","To transfer liquids like paint, use the 'pour [substance] into [container]' action instead of 'take'.",VALID_SAME_TRIAL,scienceworld_chemistry-mix-paint-secondary-color_var_0,1,6-6,scienceworld_chemistry-mix-paint-secondary-color_var_0,1,8-8
30,"Your task is to use chemistry to create green-blue paint. When you are part-way done, focus on the intermediate (secondary color) paint you created.  When you are completely done, focus on the green paint.",container,"take, move",ACQUIRE,Agent repeatedly attempts to pick up an empty cup using incorrect or ambiguous object names.,"When picking up an object, use the exact object name as it appears in the valid actions list, or select the correct option from ambiguous requests.",CANDIDATE,scienceworld_chemistry-mix-paint-tertiary-color_var_0,1,6-49,scienceworld_chemistry-mix-paint-tertiary-color_var_0,3,46-49
31,"Your task is to use chemistry to create the substance 'salt water'. A recipe and some of the ingredients might be found near the kitchen. When you are done, focus on the salt water.",instructions,"examine, read",SEARCH,Used 'examine' instead of 'read' to get recipe content.,Use 'read' action to view the content of instructions or recipes.,VALID_SAME_TRIAL,scienceworld_chemistry-mix_var_0,1,6-7,scienceworld_chemistry-mix_var_0,1,10-11
32,"Your task is to use chemistry to create the substance 'salt water'. A recipe and some of the ingredients might be found near the kitchen. When you are done, focus on the salt water.","substance, container","take, open",ACQUIRE,Attempted to take sodium chloride directly without opening its container.,"If an item cannot be taken directly, check if it's inside an openable container.",VALID_SAME_TRIAL,scienceworld_chemistry-mix_var_0,1,14-15,scienceworld_chemistry-mix_var_0,1,26-27
33,"Your task is to use chemistry to create the substance 'salt water'. A recipe and some of the ingredients might be found near the kitchen. When you are done, focus on the salt water.","container, water","fill, put",ACQUIRE,Attempted to fill a cup with water without placing it in the sink first.,"To fill a container with water from a sink, first place the container in the sink.",VALID_SAME_TRIAL,scienceworld_chemistry-mix_var_0,1,36-37,scienceworld_chemistry-mix_var_0,1,44-45
34,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.",animal,focus,ACQUIRE,Agent repeatedly tried to 'focus on bee X' when 'bee X' was not a valid direct focus target.,"To focus on an animal within a container, first open the container, then look inside to reveal the specific animal object.",VALID_NEXT_TRIAL,scienceworld_find-animal_var_0,1,101-125,scienceworld_find-animal_var_0,4,101-105
35,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.","animal, container","take, move",ACQUIRE,Agent attempted to 'take adult bee in greenhouse' but the bee was not added to inventory.,The 'take' action for an animal might not add it to inventory; check if it becomes a global movable object.,VALID_NEXT_TRIAL,scienceworld_find-animal_var_0,2,109-111,scienceworld_find-animal_var_0,4,107-109
36,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.","animal, container",move,PROCEDURE,Agent repeatedly tried to 'move adult bee to red box' or 'put adult bee in red box' when it was not a valid action.,"After focusing on an animal, the 'move [animal] to [container]' action is the correct way to transfer it.",VALID_NEXT_TRIAL,scienceworld_find-animal_var_0,4,121-135,scienceworld_find-animal_var_0,6,201-203
37,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.","animal, container",move,PROCEDURE,"Agent repeatedly tried to move bee to inventory or directly to kitchen, but it was not a valid action.",Some animals are not directly movable to inventory or other rooms; they may require a specific container or interaction.,VALID_NEXT_TRIAL,scienceworld_find-animal_var_0,3,101-115,scienceworld_find-animal_var_0,4,101-105
38,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.","animal, container",move,PROCEDURE,"Agent repeatedly tried to move bee to jug or shovel, but it was not a valid action.",Not all tools can be used to move animals; check valid actions for direct animal-to-container transfers.,VALID_SAME_TRIAL,scienceworld_find-animal_var_0,6,177-185,scienceworld_find-animal_var_0,6,201-203
39,"Your task is to find a(n) living thing. First, focus on the thing. Then, move it to the red box in the kitchen.","living thing, red box","focus, move, take",ACQUIRE,Attempted to move an object that was focused on but not in inventory.,"After focusing on an object, use 'take' to add it to inventory before attempting to move it to another location.",VALID_SAME_TRIAL,scienceworld_find-living-thing_var_0,1,12-13,scienceworld_find-living-thing_var_0,1,16-17
40,"Your task is to find a(n) non-living thing. First, focus on the thing. Then, move it to the red box in the kitchen.","non-living thing, container","focus on, take, move",ACQUIRE,Attempted to move an object to a container without first taking it into inventory.,Always take an object into inventory before attempting to move it to a container.,VALID_SAME_TRIAL,scienceworld_find-non-living-thing_var_0,1,7-8,scienceworld_find-non-living-thing_var_0,1,10-11
41,"Your task is to find a(n) plant. First, focus on the thing. Then, move it to the red box in the kitchen.","plant, red box","focus, move, take",ACQUIRE,Attempted to move a plant that was not in inventory.,Always take an object into inventory before attempting to move it to a new location.,VALID_SAME_TRIAL,scienceworld_find-plant_var_0,1,11-11,scienceworld_find-plant_var_0,1,17-17
