unique_id,task_desc,obj_type,verbs,goal_phase,issue_text,learning_text,valid_level,issue_task_id,issue_trial_num,issue_step_range,evidence_task_id,evidence_trial_num,evidence_step_range
1,Find the average age of losers and winners of all matches.,"matches table, winner_age column, loser_age column","SELECT, AVG",QUERY,"Attempted to directly average 'winner_age' and 'loser_age' columns, but they contained no data.",Verify column data presence using COUNT before attempting aggregation on potentially empty columns.,VALID_SAME_TRIAL,sql_9,1,13-14,sql_9,1,15-16
2,Find the average age of losers and winners of all matches.,"SQL syntax, STRFTIME function","SELECT, STRFTIME, YEAR",QUERY,"Used `STRFTIME` function, which is not supported in MySQL, leading to a syntax error.",Use `YEAR()` function for extracting the year from dates in MySQL instead of `STRFTIME`.,VALID_SAME_TRIAL,sql_9,1,39-40,sql_9,1,41-42
3,Find the average age of losers and winners of all matches.,"matches table, players table, tourney_date column, birth_date column","SELECT, AVG, YEAR, JOIN",QUERY,Calculated age using `YEAR(tourney_date) - YEAR(birth_date)` but resulted in NULL averages.,"Verify the presence of non-NULL values in joined date columns (`tourney_date`, `birth_date`) using `COUNT()` to confirm data availability for calculation.",VALID_SAME_TRIAL,sql_9,1,37-38,sql_9,1,47-48
4,Find the average age of losers and winners of all matches.,"SQL syntax, CAST, STRFTIME","SELECT, AVG, CAST, STRFTIME, YEAR",QUERY,"Used `STRFTIME` and `CAST(... AS INTEGER)` for age calculation, which are invalid MySQL syntax.","Use `YEAR()` function for extracting the year from dates in MySQL, avoiding `STRFTIME` and explicit `CAST` to INTEGER.",VALID_SAME_TRIAL,sql_9,4,2-3,sql_9,4,4-5
5,Find the average age of losers and winners of all matches.,"matches table, players table, tourney_date column, birth_date column","SELECT, AVG, YEAR, JOIN",QUERY,Calculated age using `YEAR(tourney_date) - YEAR(birth_date)` but resulted in NULL averages.,"Before calculating averages, confirm that joined tables contain non-NULL values in relevant date columns (`tourney_date`, `birth_date`) using `COUNT()` to ensure data availability.",VALID_SAME_TRIAL,sql_9,4,4-5,sql_9,4,6-7
6,Find the average age of losers and winners of all matches.,"matches table, players table, tourney_date column, birth_date column","SELECT, AVG, YEAR, JOIN",QUERY,Attempted to calculate average age from `tourney_date` and `birth_date` but received NULLs due to missing data.,"When data is confirmed unavailable for calculation, explicitly return NULL values as the answer.",VALID_SAME_TRIAL,sql_9,6,10-11,sql_9,6,13-14
7,Give the mean GNP and total population of nations which are considered US territory.,"country table, Region column","SELECT, WHERE",QUERY,Incorrect filtering logic: 'US Territory' not found in Region column.,Explore distinct values in relevant columns to understand data representation.,VALID_SAME_TRIAL,sql_26,1,6-6,sql_26,1,10-10
8,Give the mean GNP and total population of nations which are considered US territory.,"country table, Name column","SELECT, WHERE",QUERY,Incorrect filtering logic: 'United States Minor Outlying Islands' has zero GNP/Population.,Identify US territories by common names when direct schema identification is not possible.,VALID_NEXT_TRIAL,sql_26,1,16-16,sql_26,2,2-2
9,Give the mean GNP and total population of nations which are considered US territory.,SQL CAST function,CAST,REFINE,Incorrect data type for CAST function: 'INTEGER' is not valid in MySQL.,"Use MySQL-specific data types for CAST, such as FLOAT for decimals and SIGNED for integers.",VALID_SAME_TRIAL,sql_26,4,2-2,sql_26,4,4-4
10,How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,"student_enrolment_courses table, transcript_contents table, student_course_id column, transcript_id column","SELECT, COUNT, JOIN, GROUP BY, ORDER BY, LIMIT",QUERY,SQL syntax error: Unknown table alias 'T1' or 'T2' in SELECT clause without FROM/JOIN.,Always include FROM and JOIN clauses with table aliases when referencing columns from multiple tables.,VALID_SAME_TRIAL,sql_33,1,16-17,sql_33,1,22-23
11,How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,SQL query structure,SELECT,QUERY,"Incomplete SQL query, only providing 'SELECT' without further clauses.","Construct a complete SQL query including SELECT, FROM, JOIN, GROUP BY, ORDER BY, and LIMIT clauses.",VALID_SAME_TRIAL,sql_33,5,6-7,sql_33,5,54-55
12,How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,SQL query structure,"SELECT, FROM, JOIN",QUERY,"Referencing table aliases (T1, T2) in SELECT without defining them in FROM/JOIN.",Ensure table aliases are correctly defined in the FROM and JOIN clauses before being used in SELECT.,VALID_SAME_TRIAL,sql_33,5,50-51,sql_33,5,54-55
13,How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,SQL query structure,"SELECT, FROM, JOIN",QUERY,"Referencing table aliases (T1, T2) in SELECT without defining them in FROM/JOIN.",Ensure table aliases are correctly defined in the FROM and JOIN clauses before being used in SELECT.,VALID_SAME_TRIAL,sql_33,6,38-39,sql_33,6,44-45
14,"Show the names of high schoolers who have likes, and numbers of likes for each.","highschooler table, likes table, ID column, student_id column, liked_id column","SELECT, JOIN, COUNT, GROUP BY",QUERY,Incorrect interpretation of 'who have likes' leading to wrong JOIN condition.,"Correctly interpret 'who have likes' as high schoolers who are doing the liking, joining highschooler.ID with likes.student_id.",VALID_NEXT_TRIAL,sql_34,1,12-13,sql_34,2,12-13
15,"Show the names of high schoolers who have likes, and numbers of likes for each.","SQL query structure, table aliases","SELECT, FROM, JOIN",QUERY,SQL syntax error: using table aliases before defining them in the FROM clause.,Always define table aliases in the FROM clause before using them in SELECT or JOIN conditions.,VALID_SAME_TRIAL,sql_34,2,14-15,sql_34,2,16-17
16,"Show the names of high schoolers who have likes, and numbers of likes for each.","highschooler table, likes table, ID column, student_id column, liked_id column","SELECT, JOIN, COUNT, GROUP BY",QUERY,Incorrect interpretation of 'who have likes' leading to wrong JOIN condition.,"Correctly interpret 'who have likes' as high schoolers who are doing the liking, joining highschooler.ID with likes.student_id.",VALID_NEXT_TRIAL,sql_34,3,12-13,sql_34,2,12-13
17,"Show the names of high schoolers who have likes, and numbers of likes for each.","highschooler table, likes table, ID column, student_id column, liked_id column","SELECT, JOIN, COUNT, GROUP BY",QUERY,Incorrect interpretation of 'who have likes' leading to wrong JOIN condition.,"Correctly interpret 'who have likes' as high schoolers who are doing the liking, joining highschooler.ID with likes.student_id.",VALID_NEXT_TRIAL,sql_34,4,10-11,sql_34,2,12-13
18,"Show the names of high schoolers who have likes, and numbers of likes for each.","highschooler table, likes table, ID column, student_id column, liked_id column","SELECT, JOIN, COUNT, GROUP BY",QUERY,Incorrect interpretation of 'who have likes' leading to wrong JOIN condition.,"Correctly interpret 'who have likes' as high schoolers who are doing the liking, joining highschooler.ID with likes.student_id.",VALID_NEXT_TRIAL,sql_34,5,10-11,sql_34,2,12-13
19,"Show the names of high schoolers who have likes, and numbers of likes for each.","highschooler table, likes table, ID column, student_id column, liked_id column","SELECT, JOIN, COUNT, GROUP BY",QUERY,Incorrect interpretation of 'who have likes' leading to wrong JOIN condition.,"Correctly interpret 'who have likes' as high schoolers who are doing the liking, joining highschooler.ID with likes.student_id.",VALID_NEXT_TRIAL,sql_34,6,10-11,sql_34,2,12-13
20,"Show the names of high schoolers who have likes, and numbers of likes for each.","highschooler table, likes table, ID column, student_id column, liked_id column","SELECT, JOIN, COUNT, GROUP BY",QUERY,Incorrect interpretation of 'who have likes' leading to wrong JOIN condition.,"Correctly interpret 'who have likes' as high schoolers who are doing the liking, joining highschooler.ID with likes.student_id.",VALID_NEXT_TRIAL,sql_34,7,10-11,sql_34,2,12-13
21,Show the names of high school students and their corresponding number of friends.,"friend table, highschooler table, student_id column, friend_id column","SELECT, COUNT, JOIN, GROUP BY",REFINE,"Incorrectly assumed friendship is unidirectional, leading to an undercount of friends.",Recognize that friendship is symmetric; use UNION ALL to combine both directions of friendship for a complete count.,VALID_NEXT_TRIAL,sql_35,1,14-14,sql_35,3,28-28
22,Show the names of high school students and their corresponding number of friends.,SQL syntax,SELECT,QUERY,Attempted to execute an incomplete SQL query (only SELECT clause).,"Always provide a complete SQL query including SELECT, FROM, JOIN, and GROUP BY clauses in one action.",VALID_SAME_TRIAL,sql_35,3,14-14,sql_35,3,28-28
23,Show the names of high school students and their corresponding number of friends.,Table aliases,"SELECT, JOIN",QUERY,Used undefined table aliases (T1) in SELECT clause before FROM/JOIN.,Ensure all table aliases are defined in the FROM or JOIN clauses before being referenced in SELECT.,VALID_SAME_TRIAL,sql_35,3,16-16,sql_35,3,28-28
24,Show the names of high school students and their corresponding number of friends.,Column names,"SELECT, JOIN",QUERY,"Referenced non-existent columns (T2.ID2, T2.ID1) in the query.",Always verify column names from schema (`SHOW COLUMNS FROM table`) before using them in queries.,VALID_SAME_TRIAL,sql_35,7,2-2,sql_35,7,12-12
25,What is the description of the treatment type that costs the least money in total?,"charges table, treatments table, treatment_types table","JOIN, SELECT, SUM, GROUP BY, ORDER BY",QUERY,Incorrectly joining 'charges' and 'treatment_types' tables directly using 'treatment_type_code'.,Examine schema of related tables to identify correct join keys and relevant cost columns.,VALID_SAME_TRIAL,sql_46,1,10-11,sql_46,1,13-26
26,What is the description of the treatment type that costs the least money in total?,"charges table, treatments table","SELECT, SUM",REFINE,Misunderstanding which table contains the relevant cost information for treatment types.,Identify the correct cost column ('cost_of_treatment' in 'treatments') after schema exploration.,VALID_SAME_TRIAL,sql_46,1,10-11,sql_46,1,22-26
27,What the smallest version number and its template type code?,"templates table, Version_Number column, Template_Type_Code column","SELECT, MIN, GROUP BY, ORDER BY, LIMIT",QUERY,Incorrect use of aggregate function MIN() without GROUP BY for non-aggregated columns.,"To find the corresponding non-aggregated column for a minimum value, use ORDER BY and LIMIT 1 instead of MIN() with SELECT.",VALID_SAME_TRIAL,sql_54,1,6-6,sql_54,1,9-9
28,Show the student IDs and numbers of friends corresponding to each.,"friend table, student_id, friend_id columns","SELECT, COUNT, GROUP BY",QUERY,Incorrectly joining tables and referencing non-existent columns.,Verify column names and table structure before constructing JOIN clauses to avoid 'Unknown column' errors.,VALID_SAME_TRIAL,sql_59,1,10-10,sql_59,1,12-12
29,Show the student IDs and numbers of friends corresponding to each.,"friend table, student_id, friend_id columns","SELECT, COUNT, GROUP BY",REFINE,"Misinterpreting the `friend` table schema for mutual friendships, leading to overcomplication.",Re-evaluate schema interpretation based on initial query results and task description to simplify the query.,VALID_SAME_TRIAL,sql_59,1,6-6,sql_59,1,14-14
30,What are the names of tournaments that have more than 10 matches?,matches table,"SELECT, COUNT, GROUP BY, HAVING",QUERY,"Querying an empty table leads to empty result sets, preventing task completion.",Always verify table contents with COUNT(*) or SELECT * LIMIT N before complex queries.,VALID_SAME_TRIAL,sql_75,1,10-11,sql_75,1,12-13
31,What are the names of tournaments that have more than 10 matches?,submission format,submit,VERIFY,Incorrectly submitting natural language explanations with the 'submit' command.,"When data is insufficient, submit a concise string like 'Insufficient data' as the answer, potentially via SELECT.",VALID_NEXT_TRIAL,sql_75,2,10-11,sql_75,4,10-11
32,"What are the first names of all players, and their average rankings?","players table, rankings table","SELECT, FROM, JOIN",QUERY,"Missing FROM clause in SELECT statement, leading to 'Unknown table' error.",Always include the FROM clause with table aliases when referencing columns from multiple tables.,VALID_SAME_TRIAL,sql_80,1,14-14,sql_80,1,17-17
