task_id,task_desc,trunc_trajectory
look_at_obj_in_light-AlarmClock-None-DeskLamp-314/trial_T20190908_042454_725701,look at alarmclock under the desklamp.,"Step 1: action: think: I need to find an alarmclock and then look at it under the desklamp. I already have a desklamp from the previous turn, which I turned on. Now I need to find an alarmclock. Alarmclocks are often found on desks or dressers. I will start by checking desk 1., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 2, a alarmclock 1, a desklamp 1, a keychain 2, a laptop 2, a pen 1, and a pencil 1. Step 3: action: look at alarmclock 1 under desklamp 1, observation: Nothing happens. Step 4: action: think: My previous attempt to `look at alarmclock 1 under desklamp 1` failed with ""Nothing happens."" I realize..."
look_at_obj_in_light-Book-None-DeskLamp-316/trial_T20190908_101923_519368,look at book under the desklamp.,"Step 1: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 1, a book 1, a bowl 2, a bowl 1, a cd 1, a cellphone 1, a desklamp 1, a houseplant 1, a laptop 1, a pen 2, and a pencil 1. Step 2: action: take book 1 from desk 1, observation: You pick up the book 1 from the desk 1. Step 3: action: put book 1 on desk 1, observation: Nothing happens. Step 4: action: put book 1 under desklamp 1, observation: Nothing happens. Step 5: action: use desklamp 1, observation: You turn on the desklamp 1."
look_at_obj_in_light-Book-None-DeskLamp-320/trial_T20190909_152445_177541,examine the book with the desklamp.,"Step 1: action: think: I need to find a book first. I will check desk 1, desk 2, and then the shelves., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a creditcard 1, and a laptop 1. Step 3: action: go to desk 2, observation: You arrive at desk 2. On the desk 2, you see a alarmclock 2, and a book 1. Step 4: action: take book 1 from desk 2, observation: You pick up the book 1 from the desk 2. Step 5: action: think: I have the book 1. Now I need to find a desklamp. I will check desk 1, then desk 2, then the shelves., observation: OK. Step 6: action: go to..."
look_at_obj_in_light-CellPhone-None-DeskLamp-316/trial_T20190907_075452_465579,examine the cellphone with the desklamp.,"Step 1: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 2, a alarmclock 1, a bowl 1, a cd 1, a cellphone 4, a cellphone 2, a cellphone 1, a creditcard 1, a desklamp 1, a houseplant 1, a pen 3, a pen 2, and a pen 1. Step 2: action: examine cellphone 1 with desklamp 1, observation: Nothing happens. Step 3: action: use desklamp 1, observation: You turn on the desklamp 1. Step 4: action: examine cellphone 1 with desklamp 1, observation: Nothing happens. Step 5: action: think: I have tried `examine cellphone 1 with desklamp 1` twice, and it resulted in ""Nothing happens."" I also confirmed the desklamp is on. The objects `desklamp 1` and `cellphone 1`..."
look_at_obj_in_light-Laptop-None-DeskLamp-323/trial_T20190908_014226_839563,look at laptop under the desklamp.,"Step 1: action: think: I need to find a laptop first. Laptops are commonly found on desks. I will check desk 1., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 1, a bowl 1, a desklamp 1, a keychain 1, a mug 1, a pen 2, and a pencil 1. Step 3: action: think: I am looking for a laptop. I have checked desk 1 and it is not there. I will check other common places for laptops, such as sidetables or drawers. I will start with sidetable 1., observation: OK. Step 4: action: go to sidetable 1, observation: You arrive at sidetable 1. On the sidetable 1, you see a mug 2. Step 5:..."
look_at_obj_in_light-Mug-None-DeskLamp-301/trial_T20190908_155916_103990,examine the mug with the desklamp.,"Step 1: action: think: I need to find a mug and a desklamp, then examine the mug with the desklamp. I will start by looking for a mug. Mugs are often found on desks, dressers, shelves, or in drawers. I will check desk 1 first., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 1, a bowl 1, a mug 1, a pencil 3, a pencil 2, and a watch 2. Step 3: action: think: I have found mug 1 on desk 1. Now I need to find a desklamp. I will check desk 1 first, as I am already there., observation: OK. Step 4: action: look at desklamp on desk 1, observation: Nothing happens. Step..."
look_at_obj_in_light-Newspaper-None-DeskLamp-216/trial_T20190908_143004_004127,examine the newspaper with the desklamp.,"Step 1: action: go to diningtable 1, observation: You arrive at diningtable 1. On the diningtable 1, you see a box 1, a creditcard 2, and a newspaper 1. Step 2: action: go to sidetable 1, observation: You arrive at sidetable 1. On the sidetable 1, you see a desklamp 1, a statue 2, a statue 1, and a vase 1. Step 3: action: take desklamp 1 from sidetable 1, observation: Nothing happens. Step 4: action: take newspaper 1 from diningtable 1, observation: Nothing happens. Step 5: action: think: The task is to examine the newspaper with the desklamp. I have identified the newspaper (newspaper 1 on diningtable 1) and the desklamp (desklamp 1 on sidetable 1). The previous attempts to `take` both the desklamp and the newspaper resulted in..."
look_at_obj_in_light-Newspaper-None-DeskLamp-225/trial_T20190909_085334_452202,examine the newspaper with the desklamp.,"Step 1: action: go to coffeetable 1, observation: You arrive at coffeetable 1. On the coffeetable 1, you see a box 1, a creditcard 1, a keychain 1, a remotecontrol 1, a statue 2, and a watch 1. Step 2: action: go to armchair 1, observation: You arrive at armchair 1. On the armchair 1, you see a creditcard 2, and a newspaper 2. Step 3: action: think: I have found the newspaper (newspaper 2) on the armchair 1. Now I need to find a desklamp. I will check the sidetable 1 first, as desklamps are commonly found there., observation: OK. Step 4: action: go to sidetable 1, observation: You arrive at sidetable 1. On the sidetable 1, you see a desklamp 1. Step 5: action: examine newspaper 2 with..."
look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115849_734053,examine the pen with the desklamp.,"Step 1: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 1, a book 2, a book 1, a bowl 1, a cellphone 2, a cellphone 1, a creditcard 3, and a pencil 1. Step 2: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 3: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it, you see a pencil 2. Step 4: action: think: I need to find a pen and a desklamp. I have already checked desk 1 and drawer 1 for a pen, but only found pencils. I will continue searching for a pen in other drawers, then the dresser, and finally..."
look_at_obj_in_light-Pen-None-DeskLamp-319/trial_T20190908_222409_540184,examine the pen with the desklamp.,"Step 1: action: think: I need to find a pen and then examine it with the desklamp. I already have a desklamp (from the previous turn, it was on sidetable 2 and I turned it on). I need to find a pen. Pens are likely to be on a dresser, shelves, or in drawers. I will start by checking the dresser 1., observation: OK. Step 2: action: go to dresser 1, observation: You arrive at dresser 1. On the dresser 1, you see a book 1, a cd 1, a desklamp 1, a pencil 1, and a statue 1. Step 3: action: think: I am at dresser 1 and I see a desklamp 1. I need to find a pen. There is no pen on dresser 1. I will check..."
look_at_obj_in_light-Pencil-None-DeskLamp-306/trial_T20190907_235840_204311,look at pencil under the desklamp.,"Step 1: action: think: To solve the task, I need to find a pencil, take it, find a desklamp, turn on the desklamp, and then look at the pencil., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a book 1, a cd 3, a cellphone 2, a desklamp 1, a keychain 2, a laptop 1, a pencil 4, and a pencil 3. Step 3: action: take pencil 3 from desk 1, observation: You pick up the pencil 3 from the desk 1. Step 4: action: use desklamp 1, observation: You turn on the desklamp 1."
look_at_obj_in_light-Pencil-None-DeskLamp-319/trial_T20190908_135102_644449,look at pencil under the desklamp.,"Step 1: action: think: I need to find a pencil and a desklamp. First, I will look for a pencil. I will check the drawers first, starting from drawer 1., observation: OK. Step 2: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 3: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it, you see nothing. Step 4: action: go to drawer 2, observation: You arrive at drawer 2. The drawer 2 is closed. Step 5: action: open drawer 2, observation: You open the drawer 2. The drawer 2 is open. In it, you see a cellphone 2. Step 6: action: go to drawer 3, observation: You arrive at drawer 3. The drawer 3..."
look_at_obj_in_light-Pencil-None-DeskLamp-320/trial_T20190908_143748_669974,examine the pencil with the desklamp.,"Step 1: action: think: I need to find a pencil. I will check the desk 1 first, then desk 2, then the shelves., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 3, a alarmclock 2, a alarmclock 1, a creditcard 1, a keychain 1, a pen 1, and a pencil 1. Step 3: action: look at desklamp on desk 1, observation: Nothing happens. Step 4: action: think: I have found a pencil (pencil 1) on desk 1. Now I need to find a desklamp to examine the pencil with. I will check desk 2, then the shelves., observation: OK. Step 5: action: go to desk 2, observation: You arrive at desk 2. On the desk..."
look_at_obj_in_light-Pillow-None-DeskLamp-216/trial_T20190907_220638_188496,examine the pillow with the desklamp.,"Step 1: action: go to sofa 1, observation: You arrive at sofa 1. On the sofa 1, you see a laptop 1. Step 2: action: look at sofa 1, observation: Nothing happens. Step 3: action: go to armchair 1, observation: You arrive at armchair 1. On the armchair 1, you see a pillow 1. Step 4: action: think: I have found the pillow 1. Now I need to find a desklamp. I will check the sidetables first., observation: OK. Step 5: action: go to sidetable 1, observation: You arrive at sidetable 1. On the sidetable 1, you see a desklamp 1, a tissuebox 1, and a vase 1. Step 6: action: examine pillow 1 with desklamp 1, observation: Nothing happens. Step 7: action: take desklamp 1 from sidetable 1, observation:..."
look_at_obj_in_light-Pillow-None-DeskLamp-306/trial_T20190909_075045_578840,examine the pillow with the desklamp.,"Step 1: action: go to bed 1, observation: You arrive at bed 1. On the bed 1, you see a book 1, a cellphone 1, a laptop 2, a laptop 1, a pillow 1, and a teddybear 1. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 1, a book 2, a desklamp 1, a pen 3, and a pen 2. Step 3: action: think: I need to examine the pillow with the desklamp. I have located the pillow 1 on bed 1 and the desklamp 1 on desk 1. I am currently at desk 1. I should go to bed 1, take the pillow 1, then go back to desk 1 and use the desklamp on the..."
look_at_obj_in_light-Pillow-None-DeskLamp-307/trial_T20190908_190608_801964,examine the pillow with the desklamp.,"Step 1: action: go to bed 1, observation: You arrive at bed 1. On the bed 1, you see a book 3, a book 1, a laptop 2, a laptop 1, and a pillow 1. Step 2: action: go to sidetable 1, observation: You arrive at sidetable 1. On the sidetable 1, you see a alarmclock 1, a creditcard 1, a desklamp 1, and a pen 2. Step 3: action: take desklamp 1 from sidetable 1, observation: Nothing happens. Step 4: action: take pillow 1 from bed 1, observation: Nothing happens. Step 5: action: turn on desklamp 1, observation: Nothing happens. Step 6: action: use desklamp 1, observation: You turn on the desklamp 1. Step 7: action: go to bed 1, observation: You arrive at bed 1. On the bed..."
look_at_obj_in_light-Pillow-None-DeskLamp-320/trial_T20190906_225859_247598,look at pillow under the desklamp.,"Step 1: action: go to bed 1, observation: You arrive at bed 1. On the bed 1, you see a book 2, a pillow 3, a pillow 2, a pillow 1, and a teddybear 1. Step 2: action: take pillow 1 from bed 1, observation: You pick up the pillow 1 from the bed 1. Step 3: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 1, a book 1, a laptop 1, a pen 1, and a pencil 1. Step 4: action: go to desk 2, observation: You arrive at desk 2. On the desk 2, you see a keychain 2, a pen 3, and a pencil 2. Step 5: action: go to shelf 1, observation: You arrive at..."
look_at_obj_in_light-Statue-None-DeskLamp-304/trial_T20190909_011906_700145,look at statue under the desklamp.,"Step 1: action: think: The task is to look at a statue under the desklamp. First, I need to find a statue. I will check the desk, then drawers, then shelf, then other objects., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a cd 1, a cellphone 1, a creditcard 3, a laptop 1, a mug 1, a pen 1, a pencil 1, a statue 2, and a statue 1. Step 3: action: think: I have found two statues (statue 1 and statue 2) on desk 1. Now I need to find a desklamp. I will check desk 1 first, then shelf 1., observation: OK. Step 4: action: go to desk 1, observation: Nothing happens. Step 5:..."
look_at_obj_in_light-TissueBox-None-DeskLamp-328/trial_T20190907_201322_516201,examine the tissuebox with the desklamp.,"Step 1: action: think: I need to find a tissuebox and a desklamp. Then I will examine the tissuebox with the desklamp. I will start by looking for the tissuebox. I will check desk 1 first., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 1, a desklamp 1, a keychain 1, a mug 2, a pen 1, a pencil 2, a tissuebox 2, and a tissuebox 1. Step 3: action: examine tissuebox 1 with desklamp 1, observation: Nothing happens. Step 4: action: think: I have found both the tissuebox 1 and the desklamp 1 on desk 1. The previous attempt to examine the tissuebox with the desklamp failed, which often means the desklamp needs to..."
look_at_obj_in_light-Watch-None-DeskLamp-205/trial_T20190907_001948_509721,examine the watch with the desklamp.,"Step 1: action: think: I need to find a watch and a desklamp. Then I will examine the watch with the desklamp. I will start by looking for a watch in the drawers., observation: OK. Step 2: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 3: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it, you see a creditcard 3. Step 4: action: go to drawer 2, observation: You arrive at drawer 2. The drawer 2 is closed. Step 5: action: open drawer 2, observation: You open the drawer 2. The drawer 2 is open. In it, you see nothing. Step 6: action: go to drawer 3, observation: You arrive at drawer 3...."
pick_and_place_simple-Book-None-Bed-306/trial_T20190907_125249_700188,put a book in bed.,"Step 1: action: think: I need to find a book, take it, and then put it on the bed. I will start by checking the desk 1 for a book., observation: OK. Step 2: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 2, a alarmclock 1, a book 1, a cellphone 2, a creditcard 1, a desklamp 1, and a keychain 1. Step 3: action: take book 1 from desk 1, observation: You pick up the book 1 from the desk 1. Step 4: action: think: I have taken the book 1. Now I need to put it on the bed 1., observation: OK. Step 5: action: go to bed 1, observation: You arrive at bed 1. On the..."
pick_and_place_simple-Book-None-Desk-304/trial_T20190908_141325_880062,put some book on desk.,"Step 1: action: think: To solve the task, I need to find and take a book, then put it on desk., observation: OK. Step 2: action: think: First I need to find a book. A book is more likely to appear on a shelf, desk, or in a drawer. I will start by checking the shelf 1., observation: OK. Step 3: action: go to shelf 1, observation: You arrive at shelf 1. On the shelf 1, you see a bowl 2, a cd 2, a cd 1, a desklamp 1, a keychain 1, a pencil 2, and a statue 1. Step 4: action: think: I did not find a book on shelf 1. I will check the desk 1 next., observation: OK. Step 5: action: go to desk 1, observation:..."
pick_and_place_simple-Book-None-Desk-313/trial_T20190909_140547_719284,put some book on desk.,"Step 1: action: think: To solve the task, I need to find and take a book, then put it on desk., observation: OK. Step 2: action: think: First I need to find a book. A book is more likely to appear on a shelf (1-2), a desk (1), a sidetable (1), a bed (1), or in a drawer (1-6). I will start by checking shelf 1., observation: OK. Step 3: action: go to shelf 1, observation: You arrive at shelf 1. On the shelf 1, you see a box 1, a houseplant 1, and a pencil 1. Step 4: action: go to shelf 2, observation: You arrive at shelf 2. On the shelf 2, you see a creditcard 1. Step 5: action: go to desk 1, observation: You arrive at..."
pick_and_place_simple-Book-None-Sofa-202/trial_T20190907_043652_096323,put some book on sofa.,"Step 1: action: think: To solve the task, I need to find and take a book, then put it on sofa., observation: OK. Step 2: action: think: First I need to find a book. A book is more likely to appear on coffeetable (1), sidetable (1), armchair (1), sofa (1), or tvstand (1). I can check one by one, starting with coffeetable 1., observation: OK. Step 3: action: go to coffeetable 1, observation: You arrive at coffeetable 1. On the coffeetable 1, you see a houseplant 1, a keychain 2, a laptop 1, a watch 3, a watch 2, and a watch 1. Step 4: action: go to sidetable 1, observation: You arrive at sidetable 1. On the sidetable 1, you see a book 1, a box 1, and a..."
pick_and_place_simple-Candle-None-Toilet-409/trial_T20190908_142251_407168,put a candle in toilet.,"Step 1: action: think: To solve the task, I need to find and take a candle, then put it in toilet., observation: OK. Step 2: action: think: First I need to find a candle. A candle is more likely to appear in drawer (1-6), countertop (1), toilet (1), sinkbasin (1), garbagecan (1). I can check one by one, starting with drawer 1., observation: OK. Step 3: action: go to drawer 1, observation: You arrive at drawer 1. The drawer 1 is closed. Step 4: action: open drawer 1, observation: You open the drawer 1. The drawer 1 is open. In it, you see a cloth 1. Step 5: action: go to drawer 2, observation: You arrive at drawer 2. The drawer 2 is closed. Step 6: action: open drawer 2,..."
pick_and_place_simple-CellPhone-None-ArmChair-318/trial_T20190909_120136_895030,put a cellphone in armchair.,"Step 1: action: think: To solve the task, I need to find and take a cellphone, then put it in armchair., observation: OK. Step 2: action: think: First I need to find a cellphone. A cellphone is likely to be on a desk, bed, dresser, or inside a drawer or cabinet. I will start by checking desk 1., observation: OK. Step 3: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a book 1, a cellphone 1, a desklamp 1, a pen 1, and a pencil 1. Step 4: action: take cellphone 1 from desk 1, observation: You pick up the cellphone 1 from the desk 1. Step 5: action: go to armchair 1, observation: You arrive at armchair 1. On the..."
pick_and_place_simple-CellPhone-None-Bed-313/trial_T20190907_092308_442494,put a cellphone in bed.,"Step 1: action: think: To solve the task, I need to find and take a cellphone, then put it in bed., observation: OK. Step 2: action: think: First I need to find a cellphone. A cellphone is more likely to appear on a desk, sidetable, or in a drawer. I will start by checking the desk 1., observation: OK. Step 3: action: go to desk 1, observation: You arrive at desk 1. On the desk 1, you see a alarmclock 1, a cellphone 4, a cellphone 2, a cellphone 1, and a pencil 2. Step 4: action: take cellphone 4 from desk 1, observation: You pick up the cellphone 4 from the desk 1. Step 5: action: think: Now I have the cellphone 4. I need to put it on..."
