variant,task_id,task_desc,react_success,variant_success,react_reward,variant_reward,delta_reward,react_steps,variant_steps,help_calls,status,failure_mode,react_final_sql,variant_final_sql,variant_memories
CR,sql_6,"For each hometown, how many teachers are there?",1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,"SELECT Hometown, COUNT(*) AS num_teachers FROM teacher GROUP BY Hometown","SELECT Hometown, COUNT(*) AS teacher_count FROM teacher GROUP BY Hometown","12 (0.738): Show the names of high school students and their corresponding number of frie... | issue=Incorrectly assumed friendship is unidirectional, leading to undercounting friends. | learning=Recognize symmetric relationships in data; use UNION ALL to combine both directions of friendship for accurate counting."
CR,sql_10,List the title of all cartoons in alphabetical order.,1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,SELECT Title FROM cartoon ORDER BY Title,SELECT Title FROM cartoon ORDER BY Title;,"149 (0.640): What are the full names of all players, sorted by birth date? | issue=Assuming table is empty without explicit verification. | learning=Verify table emptiness with SELECT COUNT(*) before assuming no data. || 143 (0.588): What are the names of the dogs for which the owner has not spend more than 10... | issue=Incorrect GROUP BY clause when selecting non-aggregated columns. | learning=To select dog names based on owner's total treatment cost, use a subquery to filter owners first, then join back to d..."
CR,sql_15,What are the names of the teachers ordered by ascending age?,1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,SELECT Name FROM teacher ORDER BY CAST(Age AS SIGNED) ASC,SELECT Name FROM teacher ORDER BY CAST(Age AS UNSIGNED) ASC,"149 (0.787): What are the full names of all players, sorted by birth date? | issue=Assuming table is empty without explicit verification. | learning=Verify table emptiness with SELECT COUNT(*) before assuming no data. || 12 (0.708): Show the names of high school students and their corresponding number of frie... | issue=Incorrectly assumed friendship is unidirectional, leading to undercounting friends. | learning=Recognize symmetric relationships in data; use UNION ALL to combine both directions of friendship for accurate counting."
CR,sql_19,"What are flight numbers of flights arriving at City ""Aberdeen""?",1,1,1.0000,1.0000,+0.0000,14,6,0,same,neutral_query_change,SELECT f.FlightNo FROM flights AS f JOIN airports AS a ON f.DestAirport = a.AirportCode WHERE TRIM(a.City) = 'Aberdeen';,SELECT FlightNo FROM flights JOIN airports ON flights.DestAirport = airports.AirportCode WHERE airports.City = 'Aberdeen';,"203 (0.573): What are the arriving date and the departing date of the dogs who have gone t... | issue=Query returned duplicate rows due to multiple treatments for the same dog. | learning=Use DISTINCT keyword in SELECT clause to retrieve unique combinations of arriving and departing dates. || 84 (0.544): Find the total number of tours for each ranking date. | issue=Query returned an empty result set, leading to confusion about data existence. | learning=Recognize that an empty result set can be the correct answer if the underlying table is empty."
CR,sql_28,Which abbreviation corresponds to Jetblue Airways?,1,1,1.0000,1.0000,+0.0000,6,4,0,same,neutral_query_change,SELECT Abbreviation FROM airlines WHERE Airline = 'Jetblue Airways',SELECT Abbreviation FROM airlines WHERE Airline = 'Jetblue Airways';,24 (0.504): Return the codes of countries for which Spanish is the predominantly spoken l... | issue=Misinterpretation of 'predominantly spoken language' as highest percentage. | learning=Interpret 'predominantly spoken language' as the official language by filtering on `IsOfficial` = 'T'.
CR,sql_30,What is the ship id and name that caused most total injuries?,0,0,0.0000,0.0000,+0.0000,8,6,0,same,unchanged,"SELECT s.id, s.name FROM ship AS s JOIN death AS d ON s.id = d.caused_by_ship_id GROUP BY s.id, s.name ORDER BY SUM(d.injured) DESC LIMIT 1;","SELECT s.id, s.name FROM ship AS s JOIN death AS d ON s.id = d.caused_by_ship_id GROUP BY s.id, s.name ORDER BY SUM(d.injured) DESC LIMIT 1;","37 (0.599): What's the name of the course with most number of enrollments? | issue=Incorrect column used for counting enrollments, leading to a wrong result. | learning=Use the primary key of the enrollment table (student_course_id) for accurate counting of enrollments."
CR,sql_31,How many flights arriving in Aberdeen city?,1,1,1.0000,1.0000,+0.0000,8,6,0,same,neutral_query_change,SELECT COUNT(*) AS num_flights FROM flights JOIN airports ON flights.DestAirport = airports.AirportCode WHERE airports.City = 'Aberdeen';,SELECT COUNT(*) AS num_flights FROM flights AS f JOIN airports AS a ON f.DestAirport = a.AirportCode WHERE a.City = 'Aberdeen';,"84 (0.556): Find the total number of tours for each ranking date. | issue=Query returned an empty result set, leading to confusion about data existence. | learning=Recognize that an empty result set can be the correct answer if the underlying table is empty."
CR,sql_38,List the name and date the battle that has lost the ship named 'Lettice' and the ship named 'HMS Atalanta',1,1,1.0000,1.0000,+0.0000,6,9,0,same,neutral_query_change,"SELECT DISTINCT b.name, b.date FROM ship AS s JOIN battle AS b ON s.lost_in_battle = b.id WHERE s.name IN ('Lettice', 'HMS Atalanta');","SELECT b.name, b.date FROM battle AS b JOIN ship AS s ON s.lost_in_battle = b.id WHERE s.name IN ('Lettice', 'HMS Atalanta') GROUP BY b.id, b.name, b.date HAVING COUNT(DISTINCT s.name) = 2;",
CR,sql_39,List all singer names in concerts in year 2014.,0,0,0.8300,0.8300,+0.0000,9,6,0,same,neutral_query_change,SELECT DISTINCT s.Name FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.concert_ID = c.concert_ID WHERE c.Year = '2014',SELECT DISTINCT s.Name FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID JOIN concert AS c ON sic.concert_ID = c.concert_ID WHERE c.Year = '2014';,"149 (0.638): What are the full names of all players, sorted by birth date? | issue=Assuming table is empty without explicit verification. | learning=Verify table emptiness with SELECT COUNT(*) before assuming no data."
CR,sql_42,What country is Jetblue Airways affiliated with?,1,1,1.0000,1.0000,+0.0000,8,3,0,same,unchanged,SELECT Country FROM airlines WHERE Airline = 'Jetblue Airways';,SELECT Country FROM airlines WHERE Airline = 'Jetblue Airways';,
