unique_id,task_desc,obj_type,verbs,goal_phase,issue_text,learning_text,valid_level,issue_task_id,issue_trial_num,issue_step_range,evidence_task_id,evidence_trial_num,evidence_step_range
1,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent attempts to 'take metal pot' which is not a valid action.,Identify interactable objects from 'look around' output and use correct 'take' action.,VALID_SAME_TRIAL,scienceworld_boil_var_0,1,8-8,scienceworld_boil_var_0,1,47-47
2,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, water, sink","fill, put",ACQUIRE,Agent repeatedly tries invalid 'fill' or 'put' actions to get water into a container.,"To fill a container, first 'put container in sink', then 'activate sink'.",VALID_NEXT_TRIAL,scienceworld_boil_var_0,1,12-45,scienceworld_boil_var_0,2,22-26
3,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent uses incorrect object name 'glass cup' instead of 'cup containing nothing' for 'take' action.,Use the exact object name from the observation for 'take' actions.,VALID_SAME_TRIAL,scienceworld_boil_var_0,2,6-6,scienceworld_boil_var_0,2,12-12
4,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, sink",take,ACQUIRE,Agent uses incorrect object name 'glass cup' instead of 'cup containing water' for 'take' action from sink.,"Use the exact object name from the observation for 'take' actions, especially after object state changes.",VALID_SAME_TRIAL,scienceworld_boil_var_0,2,28-28,scienceworld_boil_var_0,2,32-32
5,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",task completion,submit,ANSWER,Agent attempts to submit 'Solution: The task is complete.' after task completion.,The task is complete when the score increases after the final required action; no explicit submission is needed.,VALID_NEXT_TRIAL,scienceworld_boil_var_0,2,38-38,scienceworld_boil_var_0,6,11-11
6,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",container,take,ACQUIRE,Agent uses incorrect object name 'cup containing nothing from table' for 'take' action.,"Use the exact object name from the observation for 'take' actions, without specifying location.",VALID_SAME_TRIAL,scienceworld_boil_var_0,3,2-2,scienceworld_boil_var_0,3,8-8
7,"Your task is to boil water. For compounds without a boiling point, combusting the substance is also acceptable. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","container, sink",take,ACQUIRE,Agent uses incorrect object name 'cup containing water from sink' for 'take' action from sink.,"Use the exact object name from the observation for 'take' actions, without specifying location.",VALID_SAME_TRIAL,scienceworld_boil_var_0,3,14-14,scienceworld_boil_var_0,3,18-18
8,"Your task is to use chemistry to create green paint. When you are done, focus on the green paint.","paint, cup, jug","take, pour",ACQUIRE,"Attempted to 'take' paint from a cup, which is not a valid action.","To transfer liquids like paint, use the 'pour [substance] into [container]' action instead of 'take'.",VALID_SAME_TRIAL,scienceworld_chemistry-mix-paint-secondary-color_var_0,1,6-6,scienceworld_chemistry-mix-paint-secondary-color_var_0,1,8-8
9,"Your task is to use chemistry to create green-blue paint. When you are part-way done, focus on the intermediate (secondary color) paint you created.  When you are completely done, focus on the green paint.",container,"take, move",ACQUIRE,Agent repeatedly attempts to pick up an empty cup using incorrect or ambiguous object names.,"When picking up an object, use the exact object name as it appears in the valid actions list, or select the correct option from ambiguous requests.",CANDIDATE,scienceworld_chemistry-mix-paint-tertiary-color_var_0,1,6-49,scienceworld_chemistry-mix-paint-tertiary-color_var_0,3,47-49
10,"Your task is to use chemistry to create the substance 'salt water'. A recipe and some of the ingredients might be found near the kitchen. When you are done, focus on the salt water.",instructions,"examine, read",SEARCH,Used 'examine' instead of 'read' to get recipe content.,Use 'read' action to view the content of instructions or recipes.,VALID_SAME_TRIAL,scienceworld_chemistry-mix_var_0,1,6-7,scienceworld_chemistry-mix_var_0,1,10-11
11,"Your task is to use chemistry to create the substance 'salt water'. A recipe and some of the ingredients might be found near the kitchen. When you are done, focus on the salt water.","substance, container","take, open",ACQUIRE,Attempted to take sodium chloride directly without opening its container.,"If an item cannot be taken directly, check if it's inside an openable container.",VALID_SAME_TRIAL,scienceworld_chemistry-mix_var_0,1,14-15,scienceworld_chemistry-mix_var_0,1,26-27
12,"Your task is to use chemistry to create the substance 'salt water'. A recipe and some of the ingredients might be found near the kitchen. When you are done, focus on the salt water.","container, water","fill, put",ACQUIRE,Attempted to fill a cup with water without placing it in the sink first.,"To fill a container with water from a sink, first place the container in the sink.",VALID_SAME_TRIAL,scienceworld_chemistry-mix_var_0,1,36-37,scienceworld_chemistry-mix_var_0,1,44-45
13,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.",animal,focus,ACQUIRE,Agent repeatedly tried to 'focus on bee X' when 'bee X' was not a valid direct focus target.,"To focus on an animal within a container, first open the container, then look inside to reveal the specific animal object.",VALID_NEXT_TRIAL,scienceworld_find-animal_var_0,1,101-125,scienceworld_find-animal_var_0,4,101-105
14,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.","animal, container","take, move",ACQUIRE,Agent attempted to 'take adult bee in greenhouse' but the bee was not added to inventory.,The 'take' action for an animal might not add it to inventory; check if it becomes a global movable object.,VALID_NEXT_TRIAL,scienceworld_find-animal_var_0,2,109-111,scienceworld_find-animal_var_0,4,107-109
15,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.","animal, container",move,PROCEDURE,Agent repeatedly tried to 'move adult bee to red box' or 'put adult bee in red box' when it was not a valid action.,"After focusing on an animal, the 'move [animal] to [container]' action is the correct way to transfer it.",VALID_NEXT_TRIAL,scienceworld_find-animal_var_0,4,121-135,scienceworld_find-animal_var_0,6,201-203
16,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.","animal, container",move,PROCEDURE,"Agent repeatedly tried to move bee to inventory or directly to kitchen, but it was not a valid action.",Some animals are not directly movable to inventory or other rooms; they may require a specific container or interaction.,VALID_NEXT_TRIAL,scienceworld_find-animal_var_0,3,101-115,scienceworld_find-animal_var_0,4,101-105
17,"Your task is to find a(n) animal. First, focus on the thing. Then, move it to the red box in the kitchen.","animal, container",move,PROCEDURE,"Agent repeatedly tried to move bee to jug or shovel, but it was not a valid action.",Not all tools can be used to move animals; check valid actions for direct animal-to-container transfers.,VALID_SAME_TRIAL,scienceworld_find-animal_var_0,6,177-185,scienceworld_find-animal_var_0,6,201-203
18,"Your task is to find a(n) living thing. First, focus on the thing. Then, move it to the red box in the kitchen.","living thing, red box","focus, move, take",ACQUIRE,Attempted to move an object that was focused on but not in inventory.,"After focusing on an object, use 'take' to add it to inventory before attempting to move it to another location.",VALID_SAME_TRIAL,scienceworld_find-living-thing_var_0,1,12-13,scienceworld_find-living-thing_var_0,1,16-17
19,"Your task is to find a(n) non-living thing. First, focus on the thing. Then, move it to the red box in the kitchen.","non-living thing, container","focus on, take, move",ACQUIRE,Attempted to move an object to a container without first taking it into inventory.,Always take an object into inventory before attempting to move it to a container.,VALID_SAME_TRIAL,scienceworld_find-non-living-thing_var_0,1,7-8,scienceworld_find-non-living-thing_var_0,1,10-11
20,"Your task is to find a(n) plant. First, focus on the thing. Then, move it to the red box in the kitchen.","plant, red box","focus, move, take",ACQUIRE,Attempted to move a plant that was not in inventory.,Always take an object into inventory before attempting to move it to a new location.,VALID_SAME_TRIAL,scienceworld_find-plant_var_0,1,11-11,scienceworld_find-plant_var_0,1,17-17
21,"Your task is to freeze water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","substance, jug, freezer","take, move, close, open, focus",PROCEDURE,Agent repeatedly tries to freeze water with invalid actions like 'freeze substance in jug' or 'activate water'.,"To freeze water, place the jug in the freezer, close the freezer, then open it again. The state change happens implicitly.",VALID_NEXT_TRIAL,scienceworld_freeze_var_0,2,25-49,scienceworld_freeze_var_0,6,37-40
22,"Your task is to freeze water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","jug, sink",take,ACQUIRE,Agent attempts to 'take jug from sink' while in a different room.,Ensure agent is in the same room as the object before attempting to take it.,VALID_SAME_TRIAL,scienceworld_freeze_var_0,1,37-37,scienceworld_freeze_var_0,1,43-43
23,"Your task is to freeze water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.",freezer,look in,VERIFY,Agent tries to look inside a closed freezer.,Open containers before attempting to look inside them.,VALID_SAME_TRIAL,scienceworld_freeze_var_0,3,37-37,scienceworld_freeze_var_0,3,38-38
24,"Your task is to freeze water. First, focus on the substance. Then, take actions that will cause it to change its state of matter.","substance, jug",look at,VERIFY,Agent tries to look at substance in jug while freezer is closed.,Open containers before attempting to look at contents.,VALID_SAME_TRIAL,scienceworld_freeze_var_0,5,37-37,scienceworld_freeze_var_0,5,39-39
25,"Your task is to focus on the 4 life stages of the turtle, starting from earliest to latest.","room, object","look around, look at, open, look in, go to",SEARCH,Agent repeatedly searches rooms and containers without finding relevant information.,"Adopt a systematic search strategy, focusing on text, diagrams, or sequences of images in each room.",VALID_NEXT_TRIAL,scienceworld_identify-life-stages-1_var_0,1,0-200,scienceworld_identify-life-stages-1_var_0,5,0-1
26,"Your task is to focus on the 4 life stages of the turtle, starting from earliest to latest.","bee, bee hive","look at, open, look in",SEARCH,"Agent examines bees and bee hive, but they are not relevant to turtle life stages.","Filter search results for direct relevance to the task's subject (turtles), ignoring similar but unrelated items.",VALID_SAME_TRIAL,scienceworld_identify-life-stages-1_var_0,2,2-10,scienceworld_identify-life-stages-1_var_0,2,11-12
27,"Your task is to focus on the 4 life stages of the turtle, starting from earliest to latest.",room,go to,RECOVER,Agent attempts to go to a room directly without first returning to the hallway.,Always return to the hallway before attempting to navigate to a different room.,VALID_SAME_TRIAL,scienceworld_identify-life-stages-1_var_0,5,108-108,scienceworld_identify-life-stages-1_var_0,5,110-110
28,"Your task is to focus on the 4 life stages of the turtle, starting from earliest to latest.",object,look at,SEARCH,Agent attempts to examine a specific object (white pillow) that is part of another object's description.,Only examine objects explicitly listed as interactable; nested descriptions are not separate objects.,VALID_SAME_TRIAL,scienceworld_identify-life-stages-1_var_0,5,120-120,scienceworld_identify-life-stages-1_var_0,5,122-122
29,"Your task is to focus on the 4 life stages of the turtle, starting from earliest to latest.",object,look at,SEARCH,Agent attempts to examine a specific object (red apple) that is part of a container's contents.,Only examine objects explicitly listed as interactable; contents of containers are not separate objects.,VALID_SAME_TRIAL,scienceworld_identify-life-stages-1_var_0,7,108-108,scienceworld_identify-life-stages-1_var_0,7,110-110
30,"Your task is to focus on the life stages of the apple plant, starting from earliest to latest. The plants are located outside.","apple plant, flower pot",focus,PROCEDURE,"Agent focuses on a flower pot containing an apple seed, not an apple plant.","Identify the earliest *plant* stage (seedling) and focus on the object containing it, not just the seed.",VALID_NEXT_TRIAL,scienceworld_identify-life-stages-2_var_0,1,8-8,scienceworld_identify-life-stages-2_var_0,7,8-8
31,"Your task is to focus on the life stages of the apple plant, starting from earliest to latest. The plants are located outside.","apple plant, flower pot",focus,PROCEDURE,"Agent focuses on a flower pot containing a seedling, but it's not the first stage.","The earliest life stage of an apple *plant* is the seedling, but the task requires starting from the earliest *life stage*, which includes the apple seed.",VALID_NEXT_TRIAL,scienceworld_identify-life-stages-2_var_0,2,5-5,scienceworld_identify-life-stages-2_var_0,3,13-13
32,"Your task is to determine which of the two inclined planes (C, B) has the shallowest angle. After completing your experiment, focus on the inclined plane with the shallowest angle.","inclined plane, block","move, look around",MEASURE,Agent moved block to inclined planes but did not observe the result immediately.,"After moving an object to an inclined plane, use 'look around' to observe if the object slid.",VALID_SAME_TRIAL,scienceworld_inclined-plane-determine-angle_var_0,1,10-13,scienceworld_inclined-plane-determine-angle_var_0,1,14-15
33,"Your task is to determine which of the two inclined planes (paper, cloth) has the most friction. After completing your experiment, focus on the inclined plane with the most friction.",room,go to,SEARCH,Agent searched multiple incorrect rooms before finding the correct one.,Systematically explore all available rooms until the required objects are found.,VALID_SAME_TRIAL,scienceworld_inclined-plane-friction-named-surfaces_var_0,1,2-22,scienceworld_inclined-plane-friction-named-surfaces_var_0,1,23-24
34,"Your task is to determine which of the two inclined planes (unknown material C, unknown material H) has the most friction. After completing your experiment, focus on the inclined plane with the most friction.","switch, inclined plane","activate, look at",PROCEDURE,Activating the switch did not affect the inclined plane's block movement.,"Observe the inclined plane directly after placing the block to determine if it slides, rather than activating a switch.",VALID_SAME_TRIAL,scienceworld_inclined-plane-friction-unnamed-surfaces_var_0,1,9-10,scienceworld_inclined-plane-friction-unnamed-surfaces_var_0,1,11-12
35,Your task is to find the animal with the longest life span.  The animals are in the 'outside' location.  Focus on the animal with the longest life span.,animal,"look at, examine, focus on",MEASURE,"Agent used 'look at' and 'examine' to find lifespan information, which did not work.","Use 'focus on' action to retrieve specific information about an object, such as an animal's lifespan.",VALID_SAME_TRIAL,scienceworld_lifespan-longest-lived_var_0,1,13-16,scienceworld_lifespan-longest-lived_var_0,1,17-17
36,"Your task is to find the animal with the longest life span, then the shortest life span. First, focus on the animal with the longest life span.  Then, focus on the animal with the shortest life span. The animals are in the 'outside' location.",animal,"examine, focus on",MEASURE,Used 'examine' instead of 'focus on' to get animal lifespan information.,"Use the 'focus on' action to retrieve specific information about an object, such as an animal's lifespan.",VALID_SAME_TRIAL,scienceworld_lifespan-longest-lived-then-shortest-lived_var_0,1,10-10,scienceworld_lifespan-longest-lived-then-shortest-lived_var_0,1,12-12
37,"Your task is to find the animal with the longest life span, then the shortest life span. First, focus on the animal with the longest life span.  Then, focus on the animal with the shortest life span. The animals are in the 'outside' location.",animal,"look at, examine, focus on",MEASURE,"Repeatedly used 'look at' and 'examine' actions, which did not provide lifespan information.","When 'look at' or 'examine' don't provide needed info, try 'focus on' or consult general knowledge.",VALID_SAME_TRIAL,scienceworld_lifespan-longest-lived-then-shortest-lived_var_0,2,14-20,scienceworld_lifespan-longest-lived-then-shortest-lived_var_0,2,21-24
38,Your task is to find the animal with the shortest life span.  The animals are in the 'outside' location.  Focus on the animal with the shortest life span.,animal,"look at, examine, focus on",MEASURE,Using 'look at' or 'examine' on an animal does not provide lifespan information.,"Use 'focus on [animal]' to retrieve detailed information, including lifespan, for an animal.",VALID_SAME_TRIAL,scienceworld_lifespan-shortest-lived_var_0,1,13-16,scienceworld_lifespan-shortest-lived_var_0,1,17-17
39,"Your task is to measure the melting point of chocolate, which is located around the kitchen. First, focus on the thermometer. Next, focus on the chocolate. If the melting point of chocolate is above -10.0 degrees celsius, focus on the blue box. If the melting point of chocolate is below -10.0 degrees celsius, focus on the orange box. The boxes are located around the kitchen.",chocolate,focus on,PROCEDURE,"Attempted to 'focus on chocolate' directly, which is not a valid action.",The task instruction 'focus on chocolate' is conceptual; the melting point is read from the thermometer after focusing on it.,VALID_NEXT_TRIAL,scienceworld_measure-melting-point-known-substance_var_0,1,5-15,scienceworld_measure-melting-point-known-substance_var_0,2,3-5
40,"Your task is to measure the melting point of chocolate, which is located around the kitchen. First, focus on the thermometer. Next, focus on the chocolate. If the melting point of chocolate is above -10.0 degrees celsius, focus on the blue box. If the melting point of chocolate is below -10.0 degrees celsius, focus on the orange box. The boxes are located around the kitchen.",thermometer,look at,MEASURE,Failed to explicitly 'look at thermometer' to get the temperature reading after focusing on it.,"After focusing on a measurement tool like a thermometer, explicitly 'look at' it to get the reading.",VALID_NEXT_TRIAL,scienceworld_measure-melting-point-known-substance_var_0,2,3-5,scienceworld_measure-melting-point-known-substance_var_0,3,8-9
